               Entry              Nevents                           Time                    Temperature                         Energy                  O*                  CO*                  O2*                   O2                   CO                  CO2
                   1                    0         0.0000000000000000E+00         4.2300000000000000E+02        -1.8628688799997835E+04               18359                    0                    0                    0                    0                    0
                   2                88115         1.0000000000000001E-01         4.2300000000000000E+02        -1.8634115599997855E+04               18358                    0                    0                    0                   -1                    1
                   3                89634         2.0000000000000001E-01         4.2300000000000000E+02        -1.8633952599997854E+04               18358                    0                    0                    0                   -1                    1
                   4                90499         3.0000000000000004E-01         4.2300000000000000E+02        -1.8634115599997855E+04               18358                    0                    0                    0                   -1                    1
                   5                91308         4.0000000000000002E-01         4.2300000000000000E+02        -1.8635289599997854E+04               18358                    1                    0                    0                   -2                    1
                   6                92185         5.0000000000000000E-01         4.2300000000000000E+02        -1.8634685399997856E+04               18357                    1                    0                    0                   -3                    2
                   7                93492         5.9999999999999998E-01         4.2300000000000000E+02        -1.8634685399997856E+04               18357                    1                    0                    0                   -3                    2
                   8               133208         6.9999999999999996E-01         4.2300000000000000E+02        -1.8631929199997856E+04               18356                    0                    0                    0                   -3                    3
                   9               133807         7.9999999999999993E-01         4.2300000000000000E+02        -1.8635092199997856E+04               18356                    2                    0                    0                   -5                    3
                  10               134169         8.9999999999999991E-01         4.2300000000000000E+02        -1.8636429199997856E+04               18356                    3                    0                    0                   -6                    3
                  11               134542         9.9999999999999989E-01         4.2300000000000000E+02        -1.8634161999997857E+04               18355                    2                    0                    0                   -6                    4
                  12               135627         1.0999999999999999E+00         4.2300000000000000E+02        -1.8636998999997857E+04               18355                    4                    0                    0                   -8                    4
                  13               137056         1.2000000000000000E+00         4.2300000000000000E+02        -1.8632301599997860E+04               18353                    2                    0                    0                   -8                    6
                  14               138439         1.3000000000000000E+00         4.2300000000000000E+02        -1.8629871399997861E+04               18352                    1                    0                    0                   -8                    7
                  15               139436         1.4000000000000001E+00         4.2300000000000000E+02        -1.8631371399997861E+04               18352                    2                    0                    0                   -9                    7
                  16               141593         1.5000000000000002E+00         4.2300000000000000E+02        -1.8626347999997863E+04               18350                    0                    0                    0                   -9                    9
                  17               141919         1.6000000000000003E+00         4.2300000000000000E+02        -1.8628010999997863E+04               18350                    1                    0                    0                  -10                    9
                  18               143005         1.7000000000000004E+00         4.2300000000000000E+02        -1.8627243799997865E+04               18349                    1                    0                    0                  -11                   10
                  19               143526         1.8000000000000005E+00         4.2300000000000000E+02        -1.8626313599997866E+04               18348                    1                    0                    0                  -12                   11
                  20               144007         1.9000000000000006E+00         4.2300000000000000E+02        -1.8629150599997865E+04               18348                    3                    0                    0                  -14                   11
                  21               144617         2.0000000000000004E+00         4.2300000000000000E+02        -1.8628627199997867E+04               18346                    4                    0                    0                  -17                   13
                  22               145037         2.1000000000000005E+00         4.2300000000000000E+02        -1.8628953199997868E+04               18346                    4                    0                    0                  -17                   13
                  23               146753         2.2000000000000006E+00         4.2300000000000000E+02        -1.8626359999997869E+04               18345                    3                    0                    0                  -17                   14
                  24               147835         2.3000000000000007E+00         4.2300000000000000E+02        -1.8624499599997871E+04               18343                    3                    0                    0                  -19                   16
                  25               148179         2.4000000000000008E+00         4.2300000000000000E+02        -1.8624499599997871E+04               18343                    3                    0                    0                  -19                   16
                  26               150044         2.5000000000000009E+00         4.2300000000000000E+02        -1.8620976199997873E+04               18341                    2                    0                    0                  -20                   18
                  27               151650         2.6000000000000010E+00         4.2300000000000000E+02        -1.8618545999997874E+04               18340                    1                    0                    0                  -20                   19
                  28               153032         2.7000000000000011E+00         4.2300000000000000E+02        -1.8618871999997875E+04               18340                    1                    0                    0                  -20                   19
                  29               154146         2.8000000000000012E+00         4.2300000000000000E+02        -1.8620249999997875E+04               18339                    2                    1                   -1                  -22                   20
                  30               155073         2.9000000000000012E+00         4.2300000000000000E+02        -1.8620941799997876E+04               18339                    3                    0                    0                  -23                   20
                  31               155877         3.0000000000000013E+00         4.2300000000000000E+02        -1.8623615799997875E+04               18339                    5                    0                    0                  -25                   20
                  32               157237         3.1000000000000014E+00         4.2300000000000000E+02        -1.8616970399997877E+04               18336                    2                    1                   -1                  -25                   23
                  33               158297         3.2000000000000015E+00         4.2300000000000000E+02        -1.8615877199997878E+04               18335                    2                    1                   -1                  -26                   24
                  34               159375         3.3000000000000016E+00         4.2300000000000000E+02        -1.8615068999997879E+04               18335                    2                    0                    0                  -26                   24
                  35               160711         3.4000000000000017E+00         4.2300000000000000E+02        -1.8614627799997881E+04               18334                    2                    0                    0                  -27                   25
                  36               161882         3.5000000000000018E+00         4.2300000000000000E+02        -1.8612034599997882E+04               18333                    1                    0                    0                  -27                   26
                  37               163233         3.6000000000000019E+00         4.2300000000000000E+02        -1.8609767399997883E+04               18332                    0                    0                    0                  -27                   27
                  38               164594         3.7000000000000020E+00         4.2300000000000000E+02        -1.8609930399997884E+04               18332                    0                    0                    0                  -27                   27
                  39               165670         3.8000000000000020E+00         4.2300000000000000E+02        -1.8609604399997883E+04               18332                    0                    0                    0                  -27                   27
                  40               166768         3.9000000000000021E+00         4.2300000000000000E+02        -1.8614267399997883E+04               18332                    3                    0                    0                  -30                   27
                  41               168137         4.0000000000000018E+00         4.2300000000000000E+02        -1.8615604399997883E+04               18332                    4                    0                    0                  -31                   27
                  42               169301         4.1000000000000014E+00         4.2300000000000000E+02        -1.8613500199997885E+04               18331                    3                    0                    0                  -31                   28
                  43               170209         4.2000000000000011E+00         4.2300000000000000E+02        -1.8611069999997886E+04               18330                    2                    0                    0                  -31                   29
                  44               171249         4.3000000000000007E+00         4.2300000000000000E+02        -1.8612406999997886E+04               18330                    3                    0                    0                  -32                   29
                  45               172409         4.4000000000000004E+00         4.2300000000000000E+02        -1.8607546599997888E+04               18328                    1                    0                    0                  -32                   31
                  46               173397         4.5000000000000000E+00         4.2300000000000000E+02        -1.8611883599997887E+04               18328                    4                    0                    0                  -35                   31
                  47               174776         4.5999999999999996E+00         4.2300000000000000E+02        -1.8607349199997891E+04               18326                    2                    0                    0                  -35                   33
                  48               176230         4.6999999999999993E+00         4.2300000000000000E+02        -1.8604999799997891E+04               18324                    2                    0                    0                  -37                   35
                  49               177295         4.7999999999999989E+00         4.2300000000000000E+02        -1.8603302399997894E+04               18322                    2                    0                    0                  -39                   37
                  50               178119         4.8999999999999986E+00         4.2300000000000000E+02        -1.8605535199997896E+04               18321                    4                    0                    0                  -42                   38
                  51               178944         4.9999999999999982E+00         4.2300000000000000E+02        -1.8605413199997896E+04               18320                    4                    1                   -1                  -43                   39
                  52               180003         5.0999999999999979E+00         4.2300000000000000E+02        -1.8600244199997898E+04               18318                    2                    1                   -1                  -43                   41
                  53               180939         5.1999999999999975E+00         4.2300000000000000E+02        -1.8597151399997900E+04               18317                    1                    0                    0                  -43                   42
                  54               181964         5.2999999999999972E+00         4.2300000000000000E+02        -1.8599988399997899E+04               18317                    3                    0                    0                  -45                   42
                  55               182668         5.3999999999999968E+00         4.2300000000000000E+02        -1.8600192399997901E+04               18316                    3                    1                   -1                  -46                   43
                  56               183445         5.4999999999999964E+00         4.2300000000000000E+02        -1.8598453999997902E+04               18315                    3                    0                    0                  -47                   44
                  57               184242         5.5999999999999961E+00         4.2300000000000000E+02        -1.8597197799997903E+04               18314                    3                    0                    0                  -48                   45
                  58               185098         5.6999999999999957E+00         4.2300000000000000E+02        -1.8594441599997903E+04               18313                    2                    0                    0                  -48                   46
                  59               186232         5.7999999999999954E+00         4.2300000000000000E+02        -1.8593233199997907E+04               18311                    2                    0                    0                  -50                   48
                  60               187567         5.8999999999999950E+00         4.2300000000000000E+02        -1.8593639999997908E+04               18310                    3                    0                    0                  -52                   49
                  61               188600         5.9999999999999947E+00         4.2300000000000000E+02        -1.8588779599997910E+04               18308                    1                    0                    0                  -52                   51
                  62               217535         6.0999999999999943E+00         4.2300000000000000E+02        -1.8587082199997913E+04               18306                    1                    0                    0                  -54                   53
