               Entry              Nevents                           Time                    Temperature                         Energy                  O*                  CO*                  O2*                   O2                   CO                  CO2
                   1                    0         0.0000000000000000E+00         4.2300000000000000E+02         1.8850259099985604E+04                8192                 8192                    0                    0                    0                    0
                   2               165969         1.0000000000000001E-01         4.2300000000000000E+02        -3.8159215000016879E+03                6027                    0                    0                 1074                 8175                   17
                   3               184266         2.0000000000000001E-01         4.2300000000000000E+02        -3.8264651000015729E+03                5927                    0                    0                 1124                 8175                   17
                   4               199497         3.0000000000000004E-01         4.2300000000000000E+02        -3.8295548000015215E+03                5849                    0                    0                 1163                 8175                   17
                   5               210039         4.0000000000000002E-01         4.2300000000000000E+02        -3.8308524000013681E+03                5781                    0                    0                 1197                 8175                   17
                   6               221209         5.0000000000000000E-01         4.2300000000000000E+02        -3.8282816000013795E+03                5725                    0                    0                 1225                 8175                   17
                   7               231324         5.9999999999999998E-01         4.2300000000000000E+02        -3.8283419000013241E+03                5683                    0                    0                 1246                 8175                   17
                   8               241458         6.9999999999999996E-01         4.2300000000000000E+02        -3.8292333000012222E+03                5639                    0                    0                 1268                 8175                   17
                   9               250369         7.9999999999999993E-01         4.2300000000000000E+02        -3.8301257000011651E+03                5615                    0                    0                 1280                 8175                   17
                  10               259011         8.9999999999999991E-01         4.2300000000000000E+02        -3.8287005000011850E+03                5593                    0                    0                 1291                 8175                   17
                  11               266582         9.9999999999999989E-01         4.2300000000000000E+02        -3.8250085000011859E+03                5551                    0                    0                 1312                 8175                   17
                  12               274245         1.0999999999999999E+00         4.2300000000000000E+02        -3.8234647000010818E+03                5517                    0                    0                 1329                 8175                   17
                  13               282200         1.2000000000000000E+00         4.2300000000000000E+02        -3.8266830000010541E+03                5489                    0                    0                 1343                 8175                   17
                  14               294099         1.3000000000000000E+00         4.2300000000000000E+02        -3.8237052000010071E+03                5459                    0                    0                 1358                 8175                   17
                  15               302070         1.4000000000000001E+00         4.2300000000000000E+02        -3.8232544000010016E+03                5427                    0                    0                 1374                 8175                   17
                  16               311258         1.5000000000000002E+00         4.2300000000000000E+02        -3.8235864000009328E+03                5399                    0                    0                 1388                 8175                   17
                  17               320258         1.6000000000000003E+00         4.2300000000000000E+02        -3.8240717000009004E+03                5385                    0                    0                 1395                 8175                   17
                  18               329511         1.7000000000000004E+00         4.2300000000000000E+02        -3.8223066000008757E+03                5363                    0                    0                 1406                 8175                   17
                  19               338697         1.8000000000000005E+00         4.2300000000000000E+02        -3.8219961000008352E+03                5343                    0                    0                 1416                 8175                   17
                  20               347904         1.9000000000000006E+00         4.2300000000000000E+02        -3.8225833000008470E+03                5319                    0                    0                 1428                 8175                   17
                  21               355655         2.0000000000000004E+00         4.2300000000000000E+02        -3.8205568000008298E+03                5303                    0                    0                 1436                 8175                   17
                  22               363137         2.1000000000000005E+00         4.2300000000000000E+02        -3.8166264000008728E+03                5279                    0                    0                 1448                 8175                   17
                  23               371938         2.2000000000000006E+00         4.2300000000000000E+02        -3.8183760000007924E+03                5259                    0                    0                 1458                 8175                   17
                  24               379389         2.3000000000000007E+00         4.2300000000000000E+02        -3.8161941000007459E+03                5243                    0                    0                 1466                 8175                   17
                  25               386843         2.4000000000000008E+00         4.2300000000000000E+02        -3.8159033000006775E+03                5229                    0                    0                 1473                 8175                   17
                  26               394102         2.5000000000000009E+00         4.2300000000000000E+02        -3.8172303000006714E+03                5219                    0                    0                 1478                 8175                   17
                  27               399952         2.6000000000000010E+00         4.2300000000000000E+02        -3.8147372000006449E+03                5203                    0                    0                 1486                 8175                   17
                  28               404317         2.7000000000000011E+00         4.2300000000000000E+02        -3.8114042000006416E+03                5189                    0                    0                 1493                 8175                   17
                  29               415589         2.8000000000000012E+00         4.2300000000000000E+02        -3.8097082000006262E+03                5177                    0                    0                 1499                 8175                   17
                  30               422848         2.9000000000000012E+00         4.2300000000000000E+02        -3.8085093000006073E+03                5165                    0                    0                 1505                 8175                   17
                  31               440897         3.0000000000000013E+00         4.2300000000000000E+02        -3.8093401000006206E+03                5159                    0                    0                 1508                 8175                   17
                  32               446856         3.1000000000000014E+00         4.2300000000000000E+02        -3.8089330000006617E+03                5153                    0                    0                 1511                 8175                   17
                  33               451731         3.2000000000000015E+00         4.2300000000000000E+02        -3.8077002000006191E+03                5135                    0                    0                 1520                 8175                   17
                  34               456956         3.3000000000000016E+00         4.2300000000000000E+02        -3.8064336000005696E+03                5127                    0                    0                 1524                 8175                   17
                  35               461871         3.4000000000000017E+00         4.2300000000000000E+02        -3.8057653000005835E+03                5119                    0                    0                 1528                 8175                   17
                  36               466899         3.5000000000000018E+00         4.2300000000000000E+02        -3.8070216000005489E+03                5107                    0                    0                 1534                 8175                   17
                  37               470086         3.6000000000000019E+00         4.2300000000000000E+02        -3.8060673000005404E+03                5103                    0                    0                 1536                 8175                   17
                  38               486830         3.7000000000000020E+00         4.2300000000000000E+02        -3.8056597000005504E+03                5089                    0                    0                 1543                 8175                   17
