Reaction_Descrp,Parameter,Values,Units
,T,320,K
,R,8.31446,JK^-1mol^-1
CO,P1,1.0000E-08,bar
O2,P2,1.0000E-08,bar
CO2,P3,1.0000E-08,bar
r1,k1f,2.4908E-01,-
,k1r,7.4709E-02,-
r2,k2f,2.4908E-01,-
,k2r,3.6911E-02,-
r3,k3f,4.3086E+09,-
,k3r,2.1284E+09,-
r4,k4f,7.7681E+02,-
,k4r,1.3528E+08,-
r5,k5f,7.7681E+02,-
,k5r,8.9578E+09,-
r6,k6f,1.3041E+11,-
,k6r,2.3013E+09,-
r7,k7f,5.2988E+03,-
,k7r,9.2232E-11,-
r8,k8f,2.6671E+05,-
,k8r,1.6764E-14,-
r9,k9f,3.8104E+06,-
,k9r,2.4642E+08,-
r10,k10f,9.3500E-01,-
,k10r,0.0000E+00,-
r11,k11f,1.3455E+00,-
,k11r,0.0000E+00,-
const,a1f,1.00E+00,-
const,a1r,1.00E+00,-
const,a2f,1.00E+00,-
const,a2r,1.00E+00,-
const,a3f,1.00E+00,-
const,a3r,1.00E+00,-
const,a4f,1.00E+00,-
const,a4r,1.00E+00,-
const,b1f,1.00E+00,-
const,b1r,1.00E+00,-
const,b2f,1.00E+00,-
const,b2r,1.00E+00,-
const,b3f,1.00E+00,-
const,b3r,1.00E+00,-
const,b4f,1.00E+00,-
const,b4r,1.00E+00,-
const,c1f,1.00E+00,-
const,c1r,1.00E+00,-
const,c2f,1.00E+00,-
const,c2r,1.00E+00,-
const,c3f,1.00E+00,-
const,c3r,1.00E+00,-
const,c4f,1.00E+00,-
const,c4r,1.00E+00,-
