               Entry              Nevents                           Time                    Temperature                         Energy                  O*                  CO*                  O2*                   O2                   CO                  CO2
                   1                    0         0.0000000000000000E+00         4.2300000000000000E+02        -1.6623327799999734E+04               16384                    0                    0                    0                    0                    0
                   2               146917         1.0000000000000001E-01         4.2300000000000000E+02        -1.6809101200000216E+04               16381                   14                    0                    0                  -17                    3
                   3               168619         2.0000000000000001E-01         4.2300000000000000E+02        -1.6821032400000222E+04               16377                   24                    0                    0                  -31                    7
                   4               192743         3.0000000000000004E-01         4.2300000000000000E+02        -1.6830008600000230E+04               16368                   36                    0                    0                  -52                   16
                   5               220408         4.0000000000000002E-01         4.2300000000000000E+02        -1.6827472400000239E+04               16357                   42                    0                    0                  -69                   27
                   6               242691         5.0000000000000000E-01         4.2300000000000000E+02        -1.6811836800000267E+04               16339                   41                    0                    0                  -86                   45
                   7               268755         5.9999999999999998E-01         4.2300000000000000E+02        -1.6784067000000286E+04               16315                   39                    0                    0                 -108                   69
                   8               299146         6.9999999999999996E-01         4.2300000000000000E+02        -1.6764127400000310E+04               16297                   36                    0                    0                 -123                   87
                   9               324227         7.9999999999999993E-01         4.2300000000000000E+02        -1.6731696000000331E+04               16275                   29                    0                    0                 -138                  109
                  10               348416         8.9999999999999991E-01         4.2300000000000000E+02        -1.6727442800000354E+04               16259                   35                    0                    0                 -160                  125
                  11               374925         9.9999999999999989E-01         4.2300000000000000E+02        -1.6729502200000370E+04               16246                   44                    0                    0                 -182                  138
                  12               401334         1.0999999999999999E+00         4.2300000000000000E+02        -1.6704735200000392E+04               16226                   40                    0                    0                 -198                  158
                  13               430449         1.2000000000000000E+00         4.2300000000000000E+02        -1.6690067600000395E+04               16213                   41                    0                    0                 -212                  171
                  14               453883         1.3000000000000000E+00         4.2300000000000000E+02        -1.6680584400000418E+04               16202                   39                    0                    0                 -221                  182
                  15               478093         1.4000000000000001E+00         4.2300000000000000E+02        -1.6670084600000439E+04               16183                   44                    0                    0                 -245                  201
                  16               503239         1.5000000000000002E+00         4.2300000000000000E+02        -1.6664318000000454E+04               16170                   48                    0                    0                 -262                  214
                  17               526072         1.6000000000000003E+00         4.2300000000000000E+02        -1.6636501800000471E+04               16149                   44                    0                    0                 -279                  235
