               Entry              Nevents                           Time                    Temperature                         Energy                  O*                  CO*                  O2*                   O2                   CO                  CO2
                   1                    0         0.0000000000000000E+00         4.2300000000000000E+02        -1.1417587399999837E+04                8192                 2048                    0                    0                    0                    0
                   2               837593         1.0000000000000001E-01         4.2300000000000000E+02        -1.0699950999995282E+04                7680                 1550                    0                  -27                  -68                  566
                   3              1289551         2.0000000000000001E-01         4.2300000000000000E+02        -9.7254089999955104E+03                7280                 1189                    0                  -49                 -151                 1010
                   4              1647410         3.0000000000000004E-01         4.2300000000000000E+02        -9.1084017999955904E+03                7039                  947                    0                  -90                 -232                 1333
                   5              1919703         4.0000000000000002E-01         4.2300000000000000E+02        -8.7071759999956248E+03                6890                  783                    0                 -141                 -319                 1584
                   6              2152768         5.0000000000000000E-01         4.2300000000000000E+02        -8.4197747999956864E+03                6784                  668                    0                 -187                 -402                 1782
                   7              2357356         5.9999999999999998E-01         4.2300000000000000E+02        -8.1915325999957058E+03                6688                  582                    0                 -224                 -486                 1952
                   8              2498430         6.9999999999999996E-01         4.2300000000000000E+02        -8.0718151999957126E+03                6651                  536                    0                 -282                 -593                 2105
                   9              2658195         7.9999999999999993E-01         4.2300000000000000E+02        -7.9033451999957124E+03                6576                  474                    0                 -321                 -684                 2258
                  10              2779706         8.9999999999999991E-01         4.2300000000000000E+02        -7.8794497999957111E+03                6584                  453                    0                 -378                 -769                 2364
                  11              2898652         9.9999999999999989E-01         4.2300000000000000E+02        -7.8312775999957148E+03                6593                  414                    0                 -443                 -851                 2485
                  12              3045430         1.0999999999999999E+00         4.2300000000000000E+02        -7.7601559999957062E+03                6570                  384                    0                 -499                 -956                 2620
                  13              3170516         1.2000000000000000E+00         4.2300000000000000E+02        -7.7636715999957132E+03                6583                  376                    0                 -554                -1045                 2717
                  14              3276996         1.3000000000000000E+00         4.2300000000000000E+02        -7.8042367999957260E+03                6604                  386                    0                 -611                -1148                 2810
                  15              3405137         1.4000000000000001E+00         4.2300000000000000E+02        -7.7790107999957154E+03                6599                  375                    0                 -661                -1242                 2915
                  16              3543881         1.5000000000000002E+00         4.2300000000000000E+02        -7.8349601999957276E+03                6631                  388                    0                 -725                -1351                 3011
                  17              3662178         1.6000000000000003E+00         4.2300000000000000E+02        -7.8606801999957270E+03                6621                  412                    0                 -767                -1469                 3105
                  18              3758673         1.7000000000000004E+00         4.2300000000000000E+02        -7.8712951999957213E+03                6641                  407                    0                 -825                -1560                 3201
                  19              3870003         1.8000000000000005E+00         4.2300000000000000E+02        -7.8385957999957163E+03                6649                  381                    0                 -887                -1650                 3317
                  20              3981605         1.9000000000000006E+00         4.2300000000000000E+02        -7.8658523999957233E+03                6682                  375                    1                 -951                -1737                 3410
                  21              4078698         2.0000000000000004E+00         4.2300000000000000E+02        -7.8465345999957299E+03                6688                  357                    0                -1006                -1825                 3516
                  22              4179754         2.1000000000000005E+00         4.2300000000000000E+02        -7.8673517999957348E+03                6704                  359                    0                -1061                -1921                 3610
                  23              4275529         2.2000000000000006E+00         4.2300000000000000E+02        -7.8850445999957465E+03                6728                  352                    0                -1120                -2008                 3704
                  24              4403815         2.3000000000000007E+00         4.2300000000000000E+02        -7.8447751999957445E+03                6711                  337                    0                -1169                -2108                 3819
                  25              4526125         2.4000000000000008E+00         4.2300000000000000E+02        -7.8523467999957475E+03                6719                  336                    0                -1223                -2207                 3919
                  26              4646805         2.5000000000000009E+00         4.2300000000000000E+02        -7.8487529999957442E+03                6730                  327                    0                -1278                -2297                 4018
