               Entry              Nevents                           Time                    Temperature                         Energy                  O*                  CO*                  O2*                   O2                   CO                  CO2
                   1                    0         0.0000000000000000E+00         4.2300000000000000E+02         1.7073004099994712E+04                4096                12288                    0                    0                    0                    0
                   2               679869         1.0000000000000001E-01         4.2300000000000000E+02        -3.5364948999973108E+03                3962                    4                    0                   60                12270                   14
                   3               682430         2.0000000000000001E-01         4.2300000000000000E+02        -3.5334971999973109E+03                3962                    3                    0                   60                12271                   14
                   4               682873         3.0000000000000004E-01         4.2300000000000000E+02        -3.5345966999972975E+03                3962                    3                    0                   60                12271                   14
                   5               683456         4.0000000000000002E-01         4.2300000000000000E+02        -3.5346120999972909E+03                3962                    3                    0                   60                12271                   14
                   6               683913         5.0000000000000000E-01         4.2300000000000000E+02        -3.5354013999972790E+03                3962                    3                    0                   60                12271                   14
                   7               684398         5.9999999999999998E-01         4.2300000000000000E+02        -3.5351519999972934E+03                3962                    3                    0                   60                12271                   14
                   8               684891         6.9999999999999996E-01         4.2300000000000000E+02        -3.5338992999972807E+03                3960                    2                    0                   61                12272                   14
                   9               685475         7.9999999999999993E-01         4.2300000000000000E+02        -3.5323108999972824E+03                3960                    1                    0                   61                12273                   14
                  10               685927         8.9999999999999991E-01         4.2300000000000000E+02        -3.5326449999972642E+03                3960                    1                    0                   61                12273                   14
                  11               686415         9.9999999999999989E-01         4.2300000000000000E+02        -3.5320915999972758E+03                3960                    1                    0                   61                12273                   14
                  12               686867         1.0999999999999999E+00         4.2300000000000000E+02        -3.5316519999972975E+03                3960                    1                    0                   61                12273                   14
                  13               687336         1.2000000000000000E+00         4.2300000000000000E+02        -3.5317032999972957E+03                3960                    1                    0                   61                12273                   14
                  14               687811         1.3000000000000000E+00         4.2300000000000000E+02        -3.5297313999973167E+03                3960                    1                    0                   61                12273                   14
                  15               688285         1.4000000000000001E+00         4.2300000000000000E+02        -3.5306874999973156E+03                3960                    1                    0                   61                12273                   14
                  16               688760         1.5000000000000002E+00         4.2300000000000000E+02        -3.5303864999973175E+03                3960                    1                    0                   61                12273                   14
                  17               689245         1.6000000000000003E+00         4.2300000000000000E+02        -3.5304230999973147E+03                3958                    1                    0                   62                12273                   14
                  18               689709         1.7000000000000004E+00         4.2300000000000000E+02        -3.5306310999973143E+03                3958                    1                    0                   62                12273                   14
                  19               690172         1.8000000000000005E+00         4.2300000000000000E+02        -3.5295962999973062E+03                3958                    1                    0                   62                12273                   14
