               Entry              Nevents                           Time                    Temperature                         Energy                  O*                  CO*                  O2*                   O2                   CO                  CO2
                   1                    0         0.0000000000000000E+00         4.2300000000000000E+02         2.7596887099978645E+04               10240                 8191                    0                    0                    0                    0
                   2               185385         1.0000000000000001E-01         4.2300000000000000E+02        -3.8110861999765521E+03                6074                    0                    0                 2076                 8177                   14
                   3               207177         2.0000000000000001E-01         4.2300000000000000E+02        -3.8229432999764526E+03                5940                    0                    0                 2143                 8177                   14
                   4               223241         3.0000000000000004E-01         4.2300000000000000E+02        -3.8276225999763838E+03                5850                    0                    0                 2188                 8177                   14
                   5               234949         4.0000000000000002E-01         4.2300000000000000E+02        -3.8311329999762788E+03                5794                    0                    0                 2216                 8177                   14
                   6               299942         5.0000000000000000E-01         4.2300000000000000E+02        -3.8260551999762647E+03                5724                    0                    0                 2251                 8177                   14
                   7               314355         5.9999999999999998E-01         4.2300000000000000E+02        -3.8292059999761959E+03                5682                    0                    0                 2272                 8177                   14
                   8               323464         6.9999999999999996E-01         4.2300000000000000E+02        -3.8258226999760559E+03                5608                    0                    0                 2309                 8177                   14
                   9               333511         7.9999999999999993E-01         4.2300000000000000E+02        -3.8257926999760371E+03                5556                    0                    0                 2335                 8177                   14
                  10               343608         8.9999999999999991E-01         4.2300000000000000E+02        -3.8266074999759471E+03                5532                    0                    0                 2347                 8177                   14
                  11               352432         9.9999999999999989E-01         4.2300000000000000E+02        -3.8286316999758092E+03                5502                    0                    0                 2362                 8177                   14
                  12               359521         1.0999999999999999E+00         4.2300000000000000E+02        -3.8243147999758394E+03                5460                    0                    0                 2383                 8177                   14
                  13               368112         1.2000000000000000E+00         4.2300000000000000E+02        -3.8211341999758174E+03                5422                    0                    0                 2402                 8177                   14
                  14               383703         1.3000000000000000E+00         4.2300000000000000E+02        -3.8169040999758213E+03                5388                    0                    0                 2419                 8177                   14
                  15               420812         1.4000000000000001E+00         4.2300000000000000E+02        -3.8168040999757454E+03                5360                    0                    0                 2433                 8177                   14
                  16               426866         1.5000000000000002E+00         4.2300000000000000E+02        -3.8162504999756934E+03                5346                    0                    0                 2440                 8177                   14
                  17               433884         1.6000000000000003E+00         4.2300000000000000E+02        -3.8138880999757321E+03                5332                    0                    0                 2447                 8177                   14
                  18               441168         1.7000000000000004E+00         4.2300000000000000E+02        -3.8162100999757122E+03                5306                    0                    0                 2460                 8177                   14
                  19               447130         1.8000000000000005E+00         4.2300000000000000E+02        -3.8134155999756995E+03                5292                    0                    0                 2467                 8177                   14
                  20               453011         1.9000000000000006E+00         4.2300000000000000E+02        -3.8130697999757535E+03                5274                    0                    0                 2476                 8177                   14
                  21               458737         2.0000000000000004E+00         4.2300000000000000E+02        -3.8124488999757195E+03                5262                    0                    0                 2482                 8177                   14
                  22               463511         2.1000000000000005E+00         4.2300000000000000E+02        -3.8078107999756471E+03                5244                    0                    0                 2491                 8177                   14
                  23               468130         2.2000000000000006E+00         4.2300000000000000E+02        -3.8092931999756311E+03                5226                    0                    0                 2500                 8177                   14
                  24               472578         2.3000000000000007E+00         4.2300000000000000E+02        -3.8078380999755432E+03                5210                    0                    0                 2508                 8177                   14
                  25               477011         2.4000000000000008E+00         4.2300000000000000E+02        -3.8080428999755968E+03                5196                    0                    0                 2515                 8177                   14
                  26               481497         2.5000000000000009E+00         4.2300000000000000E+02        -3.8090986999755783E+03                5182                    0                    0                 2522                 8177                   14
                  27               488355         2.6000000000000010E+00         4.2300000000000000E+02        -3.8076004999755937E+03                5168                    0                    0                 2529                 8177                   14
