               Entry              Nevents                           Time                    Temperature                         Energy                  O*                  CO*                  O2*                   O2                   CO                  CO2
                   1                    0         0.0000000000000000E+00         4.2300000000000000E+02        -1.7627162999998982E+04               14335                 2048                    0                    0                    0                    0
                   2               790385         1.0000000000000001E-01         4.2300000000000000E+02        -1.6377529800000439E+04               13684                 1409                    0                    0                  -12                  651
                   3              1341295         2.0000000000000001E-01         4.2300000000000000E+02        -1.5216726200000130E+04               13186                  947                    0                    0                  -48                 1149
                   4              1735814         3.0000000000000004E-01         4.2300000000000000E+02        -1.4423004199999972E+04               12846                  635                    0                   -1                  -78                 1491
                   5              2011652         4.0000000000000002E-01         4.2300000000000000E+02        -1.4011312199999838E+04               12646                  485                    0                   -4                 -134                 1697
                   6              2215178         5.0000000000000000E-01         4.2300000000000000E+02        -1.3653778599999749E+04               12478                  353                    0                   -6                 -174                 1869
                   7              2379428         5.9999999999999998E-01         4.2300000000000000E+02        -1.3420315199999681E+04               12361                  271                    0                   -8                 -213                 1990
                   8              2511788         6.9999999999999996E-01         4.2300000000000000E+02        -1.3258283199999616E+04               12266                  222                    0                  -10                 -263                 2089
                   9              2630740         7.9999999999999993E-01         4.2300000000000000E+02        -1.3117184199999616E+04               12186                  182                    0                  -12                 -307                 2173
                  10              2729707         8.9999999999999991E-01         4.2300000000000000E+02        -1.3025955399999561E+04               12122                  160                    0                  -13                 -351                 2239
                  11              2821674         9.9999999999999989E-01         4.2300000000000000E+02        -1.2964616199999544E+04               12061                  159                    0                  -15                 -415                 2304
                  12              2904559         1.0999999999999999E+00         4.2300000000000000E+02        -1.2893144399999488E+04               12012                  140                    0                  -19                 -453                 2361
                  13              3000669         1.2000000000000000E+00         4.2300000000000000E+02        -1.2855761599999456E+04               11958                  149                    0                  -21                 -520                 2419
                  14              3085982         1.3000000000000000E+00         4.2300000000000000E+02        -1.2794072399999452E+04               11907                  142                    0                  -24                 -570                 2476
                  15              3155139         1.4000000000000001E+00         4.2300000000000000E+02        -1.2743095399999429E+04               11857                  140                    0                  -25                 -620                 2528
                  16              3204604         1.5000000000000002E+00         4.2300000000000000E+02        -1.2694535199999420E+04               11811                  138                    0                  -26                 -666                 2576
                  17              3271652         1.6000000000000003E+00         4.2300000000000000E+02        -1.2645865399999371E+04               11772                  128                    0                  -31                 -705                 2625
                  18              3347890         1.7000000000000004E+00         4.2300000000000000E+02        -1.2612953799999303E+04               11724                  133                    0                  -33                 -762                 2677
                  19              3441867         1.8000000000000005E+00         4.2300000000000000E+02        -1.2537112599999304E+04               11673                  117                    0                  -38                 -807                 2738
                  20              3527683         1.9000000000000006E+00         4.2300000000000000E+02        -1.2518081599999332E+04               11628                  137                    0                  -39                 -874                 2785
                  21              3634546         2.0000000000000004E+00         4.2300000000000000E+02        -1.2456906799999306E+04               11569                  134                    0                  -41                 -934                 2848
                  22              3701418         2.1000000000000005E+00         4.2300000000000000E+02        -1.2452766999999216E+04               11535                  147                    0                  -47                 -993                 2894
                  23              3777755         2.2000000000000006E+00         4.2300000000000000E+02        -1.2397993199999233E+04               11486                  145                    0                  -51                -1048                 2951
                  24              3865049         2.3000000000000007E+00         4.2300000000000000E+02        -1.2343102199999181E+04               11436                  138                    0                  -55                -1099                 3009
                  25              3938509         2.4000000000000008E+00         4.2300000000000000E+02        -1.2290219799999149E+04               11389                  132                    0                  -60                -1150                 3066
                  26              4003007         2.5000000000000009E+00         4.2300000000000000E+02        -1.2225023999999186E+04               11335                  128                    0                  -63                -1206                 3126
                  27              4083754         2.6000000000000010E+00         4.2300000000000000E+02        -1.2203310599999122E+04               11303                  130                    0                  -72                -1258                 3176
                  28              4149969         2.7000000000000011E+00         4.2300000000000000E+02        -1.2160233199999151E+04               11261                  132                    0                  -78                -1314                 3230
                  29              4230418         2.8000000000000012E+00         4.2300000000000000E+02        -1.2116940199999144E+04               11216                  133                    0                  -81                -1366                 3281
                  30              4313788         2.9000000000000012E+00         4.2300000000000000E+02        -1.2062777799999114E+04               11159                  133                    0                  -81                -1423                 3338
                  31              4388669         3.0000000000000013E+00         4.2300000000000000E+02        -1.2005815599999070E+04               11108                  126                    0                  -84                -1473                 3395
                  32              4460697         3.1000000000000014E+00         4.2300000000000000E+02        -1.1944957599999030E+04               11058                  116                    0                  -90                -1525                 3457
                  33              4546943         3.2000000000000015E+00         4.2300000000000000E+02        -1.1901169799999070E+04               11024                  113                    0                  -99                -1574                 3509
                  34              4617578         3.3000000000000016E+00         4.2300000000000000E+02        -1.1854925999999046E+04               10980                  110                    0                 -103                -1623                 3561
                  35              4689623         3.4000000000000017E+00         4.2300000000000000E+02        -1.1802628799999064E+04               10929                  111                    0                 -107                -1683                 3620
                  36              4760825         3.5000000000000018E+00         4.2300000000000000E+02        -1.1825417199998992E+04               10906                  136                    0                 -112                -1741                 3653
                  37              4842678         3.6000000000000019E+00         4.2300000000000000E+02        -1.1819369799998980E+04               10869                  156                    0                 -115                -1804                 3696
                  38              4911175         3.7000000000000020E+00         4.2300000000000000E+02        -1.1764940199999028E+04               10821                  156                    0                 -122                -1866                 3758
                  39              4985890         3.8000000000000020E+00         4.2300000000000000E+02        -1.1735459199998961E+04               10781                  158                    0                 -133                -1930                 3820
                  40              5082692         3.9000000000000021E+00         4.2300000000000000E+02        -1.1693257999998961E+04               10735                  161                    0                 -138                -1989                 3876
                  41              5159502         4.0000000000000018E+00         4.2300000000000000E+02        -1.1618103199998961E+04               10686                  144                    0                 -145                -2035                 3939
                  42              5240351         4.1000000000000014E+00         4.2300000000000000E+02        -1.1620880799998955E+04               10654                  167                    0                 -154                -2108                 3989
                  43              5338756         4.2000000000000011E+00         4.2300000000000000E+02        -1.1551050999998881E+04               10600                  151                    0                 -160                -2158                 4055
                  44              5427113         4.3000000000000007E+00         4.2300000000000000E+02        -1.1502776799998897E+04               10544                  158                    0                 -164                -2229                 4119
                  45              5529343         4.4000000000000004E+00         4.2300000000000000E+02        -1.1475965599998857E+04               10498                  168                    0                 -172                -2301                 4181
                  46              5630758         4.5000000000000000E+00         4.2300000000000000E+02        -1.1454197399998842E+04               10457                  180                    0                 -180                -2370                 4238
                  47              5742044         4.5999999999999996E+00         4.2300000000000000E+02        -1.1407314999998811E+04               10410                  178                    0                 -191                -2437                 4307
