               Entry              Nevents                           Time                    Temperature                         Energy                  O*                  CO*                  O2*                   O2                   CO                  CO2
                   1                    0         0.0000000000000000E+00         4.2300000000000000E+02        -2.0710572999997199E+04               14335                 4096                    0                    0                    0                    0
                   2              1130974         1.0000000000000001E-01         4.2300000000000000E+02        -1.7760799799999542E+04               13004                 2757                    0                    0                    8                 1331
                   3              2085995         2.0000000000000001E-01         4.2300000000000000E+02        -1.5638470600000011E+04               12128                 1896                    0                   -1                   -9                 2209
                   4              2786293         3.0000000000000004E-01         4.2300000000000000E+02        -1.4192004799999720E+04               11519                 1320                    0                   -2                  -44                 2820
                   5              3294118         4.0000000000000002E-01         4.2300000000000000E+02        -1.3229648399999567E+04               11102                  948                    0                   -5                  -95                 3243
                   6              3687309         5.0000000000000000E-01         4.2300000000000000E+02        -1.2481774199999425E+04               10781                  655                    0                  -10                 -133                 3574
                   7              3957759         5.9999999999999998E-01         4.2300000000000000E+02        -1.2048091399999383E+04               10582                  497                    0                  -17                 -188                 3787
                   8              4167077         6.9999999999999996E-01         4.2300000000000000E+02        -1.1743184799999306E+04               10429                  391                    0                  -25                 -251                 3956
                   9              4339964         7.9999999999999993E-01         4.2300000000000000E+02        -1.1523299399999258E+04               10307                  323                    0                  -35                 -325                 4098
                  10              4475672         8.9999999999999991E-01         4.2300000000000000E+02        -1.1348032799999282E+04               10214                  271                    0                  -46                 -388                 4213
                  11              4611787         9.9999999999999989E-01         4.2300000000000000E+02        -1.1221034599999231E+04               10133                  237                    0                  -53                 -449                 4308
                  12              4744925         1.0999999999999999E+00         4.2300000000000000E+02        -1.1111708999999191E+04               10050                  217                    0                  -57                 -520                 4399
                  13              4874122         1.2000000000000000E+00         4.2300000000000000E+02        -1.1046864599999208E+04                9988                  217                    0                  -65                 -598                 4477
                  14              4987400         1.3000000000000000E+00         4.2300000000000000E+02        -1.0962163999999198E+04                9930                  199                    0                  -79                 -666                 4563
                  15              5078621         1.4000000000000001E+00         4.2300000000000000E+02        -1.0915037799999165E+04                9884                  196                    0                  -93                 -737                 4637
                  16              5175611         1.5000000000000002E+00         4.2300000000000000E+02        -1.0853034599999159E+04                9828                  192                    0                 -105                 -813                 4717
                  17              5286913         1.6000000000000003E+00         4.2300000000000000E+02        -1.0834012599999209E+04                9793                  207                    0                 -119                 -891                 4780
                  18              5409538         1.7000000000000004E+00         4.2300000000000000E+02        -1.0774177599999168E+04                9738                  201                    0                 -133                 -968                 4863
                  19              5511002         1.8000000000000005E+00         4.2300000000000000E+02        -1.0704644199999133E+04                9686                  187                    0                 -146                -1032                 4941
                  20              5606814         1.9000000000000006E+00         4.2300000000000000E+02        -1.0662399399999118E+04                9647                  184                    0                 -158                -1092                 5004
                  21              5709514         2.0000000000000004E+00         4.2300000000000000E+02        -1.0609438199999146E+04                9601                  182                    0                 -172                -1164                 5078
                  22              5805063         2.1000000000000005E+00         4.2300000000000000E+02        -1.0562394799999178E+04                9554                  185                    0                 -183                -1236                 5147
                  23              5902660         2.2000000000000006E+00         4.2300000000000000E+02        -1.0506692199999186E+04                9506                  181                    0                 -193                -1300                 5215
                  24              5994458         2.3000000000000007E+00         4.2300000000000000E+02        -1.0466712599999111E+04                9468                  174                    0                 -210                -1365                 5287
                  25              6084537         2.4000000000000008E+00         4.2300000000000000E+02        -1.0454777399999133E+04                9447                  182                    0                 -229                -1432                 5346
                  26              6175240         2.5000000000000009E+00         4.2300000000000000E+02        -1.0445002799999091E+04                9419                  191                    0                 -243                -1497                 5402
                  27              6265787         2.6000000000000010E+00         4.2300000000000000E+02        -1.0425939999999109E+04                9395                  196                    0                 -264                -1568                 5468
                  28              6381407         2.7000000000000011E+00         4.2300000000000000E+02        -1.0373928199999082E+04                9336                  199                    0                 -275                -1652                 5549
                  29              6496109         2.8000000000000012E+00         4.2300000000000000E+02        -1.0341624199999071E+04                9291                  207                    0                 -287                -1729                 5618
                  30              6584681         2.9000000000000012E+00         4.2300000000000000E+02        -1.0292757599999090E+04                9248                  205                    0                 -303                -1802                 5693
                  31              6686896         3.0000000000000013E+00         4.2300000000000000E+02        -1.0276565799999033E+04                9209                  216                    0                 -315                -1876                 5756
                  32              6778686         3.1000000000000014E+00         4.2300000000000000E+02        -1.0248441999999062E+04                9170                  226                    0                 -329                -1953                 5823
                  33              6913348         3.2000000000000015E+00         4.2300000000000000E+02        -1.0254490599999113E+04                9148                  249                    0                 -353                -2046                 5893
                  34              7034920         3.3000000000000016E+00         4.2300000000000000E+02        -1.0163810599999040E+04                9078                  230                    0                 -364                -2119                 5985
                  35              7161242         3.4000000000000017E+00         4.2300000000000000E+02        -1.0104235199999132E+04                9036                  226                    0                 -384                -2197                 6067
                  36              7277862         3.5000000000000018E+00         4.2300000000000000E+02        -1.0038573799999092E+04                8974                  221                    0                 -398                -2282                 6157
                  37              7399151         3.6000000000000019E+00         4.2300000000000000E+02        -9.9526471999991136E+03                8911                  208                    0                 -411                -2358                 6246
                  38              7486135         3.7000000000000020E+00         4.2300000000000000E+02        -9.9337903999990758E+03                8882                  212                    0                 -430                -2429                 6313
                  39              7593446         3.8000000000000020E+00         4.2300000000000000E+02        -9.8959557999990357E+03                8834                  216                    0                 -449                -2519                 6399
                  40              7686651         3.9000000000000021E+00         4.2300000000000000E+02        -9.8755895999991353E+03                8808                  228                    0                 -468                -2595                 6463
                  41              7801730         4.0000000000000018E+00         4.2300000000000000E+02        -9.8714453999990801E+03                8787                  235                    0                 -497                -2681                 6542
                  42              7909903         4.1000000000000014E+00         4.2300000000000000E+02        -9.8321589999991120E+03                8755                  233                    0                 -523                -2763                 6626
                  43              8023584         4.2000000000000011E+00         4.2300000000000000E+02        -9.8136371999990934E+03                8736                  232                    0                 -551                -2837                 6701
                  44              8135035         4.3000000000000007E+00         4.2300000000000000E+02        -9.7853875999991124E+03                8703                  237                    0                 -569                -2911                 6770
                  45              8228406         4.4000000000000004E+00         4.2300000000000000E+02        -9.7265949999991062E+03                8665                  223                    0                 -590                -2977                 6850
                  46              8345538         4.5000000000000000E+00         4.2300000000000000E+02        -9.7000153999990835E+03                8642                  219                    0                 -617                -3050                 6927
                  47              8462068         4.5999999999999996E+00         4.2300000000000000E+02        -9.6729951999991263E+03                8616                  222                    0                 -644                -3133                 7007
                  48              8582901         4.6999999999999993E+00         4.2300000000000000E+02        -9.6502951999991292E+03                8591                  224                    0                 -674                -3220                 7092
                  49              8700535         4.7999999999999989E+00         4.2300000000000000E+02        -9.6320875999991022E+03                8558                  232                    0                 -694                -3301                 7165
                  50              8821859         4.8999999999999986E+00         4.2300000000000000E+02        -9.5642879999991364E+03                8510                  222                    0                 -716                -3383                 7257
                  51              8903521         4.9999999999999982E+00         4.2300000000000000E+02        -9.5440779999991264E+03                8480                  228                    0                 -742                -3471                 7339
                  52              9039851         5.0999999999999979E+00         4.2300000000000000E+02        -9.5240309999991150E+03                8450                  234                    0                 -765                -3553                 7415
                  53              9136746         5.1999999999999975E+00         4.2300000000000000E+02        -9.4828329999991001E+03                8415                  229                    0                 -787                -3627                 7494
                  54              9257041         5.2999999999999972E+00         4.2300000000000000E+02        -9.4452693999991170E+03                8377                  231                    0                 -810                -3713                 7578
                  55              9366233         5.3999999999999968E+00         4.2300000000000000E+02        -9.4085803999991240E+03                8352                  224                    0                 -842                -3795                 7667
                  56              9476541         5.4999999999999964E+00         4.2300000000000000E+02        -9.3840515999991458E+03                8323                  229                    0                 -867                -3879                 7746
                  57              9565095         5.5999999999999961E+00         4.2300000000000000E+02        -9.3186687999991937E+03                8279                  219                    0                 -887                -3953                 7830
                  58              9671638         5.6999999999999957E+00         4.2300000000000000E+02        -9.3191965999991589E+03                8268                  224                    0                 -920                -4035                 7907
                  59              9775719         5.7999999999999954E+00         4.2300000000000000E+02        -9.3016843999991524E+03                8247                  226                    0                 -947                -4112                 7982
                  60              9878931         5.8999999999999950E+00         4.2300000000000000E+02        -9.3373913999991673E+03                8247                  251                    0                 -977                -4197                 8042
                  61              9973410         5.9999999999999947E+00         4.2300000000000000E+02        -9.2987913999991979E+03                8217                  248                    0                -1002                -4274                 8122
                  62             10090112         6.0999999999999943E+00         4.2300000000000000E+02        -9.2629785999991764E+03                8188                  242                    0                -1034                -4361                 8215
                  63             10206001         6.1999999999999940E+00         4.2300000000000000E+02        -9.2539219999991528E+03                8160                  253                    0                -1057                -4446                 8289
                  64             10349185         6.2999999999999936E+00         4.2300000000000000E+02        -9.2210199999991764E+03                8120                  260                    0                -1080                -4539                 8375
                  65             10481340         6.3999999999999932E+00         4.2300000000000000E+02        -9.1762703999991954E+03                8087                  254                    0                -1110                -4626                 8468
                  66             10569169         6.4999999999999929E+00         4.2300000000000000E+02        -9.1508829999992086E+03                8065                  253                    0                -1138                -4703                 8546
                  67             10672705         6.5999999999999925E+00         4.2300000000000000E+02        -9.1552649999992173E+03                8060                  260                    0                -1172                -4783                 8619
                  68             10776330         6.6999999999999922E+00         4.2300000000000000E+02        -9.1270665999991434E+03                8053                  240                    0                -1211                -4848                 8704
                  69             10877952         6.7999999999999918E+00         4.2300000000000000E+02        -9.0952949999991542E+03                8020                  242                    0                -1233                -4927                 8781
                  70             10985555         6.8999999999999915E+00         4.2300000000000000E+02        -9.0295291999992023E+03                7986                  225                    0                -1260                -4998                 8869
                  71             11093751         6.9999999999999911E+00         4.2300000000000000E+02        -9.0171661999992066E+03                7961                  234                    0                -1285                -5082                 8944
                  72             11193158         7.0999999999999908E+00         4.2300000000000000E+02        -9.0131523999992187E+03                7957                  235                    0                -1320                -5157                 9018
                  73             11296635         7.1999999999999904E+00         4.2300000000000000E+02        -8.9849265999992385E+03                7933                  234                    0                -1351                -5242                 9104
                  74             11395060         7.2999999999999901E+00         4.2300000000000000E+02        -8.9709933999992427E+03                7902                  246                    0                -1369                -5321                 9171
