               Entry              Nevents                           Time                    Temperature                         Energy                  O*                  CO*                  O2*                   O2                   CO                  CO2
                   1                    0         0.0000000000000000E+00         4.2300000000000000E+02        -9.0771797999999962E+03                8154                  144                    0                    0                    0                    0
                   2              9815330         1.0000000000000000E+02         4.2300000000000000E+02        -2.7697296000005339E+04                   0                18428                    0                    0               -26438                 8154
                   3              9821601         2.0000000000000000E+02         4.2300000000000000E+02        -2.7700296000005339E+04                   0                18430                    0                    0               -26440                 8154
                   4              9827156         3.0000000000000000E+02         4.2300000000000000E+02        -2.7701796000005339E+04                   0                18431                    0                    0               -26441                 8154
                   5              9833384         4.0000000000000000E+02         4.2300000000000000E+02        -2.7700296000005339E+04                   0                18430                    0                    0               -26440                 8154
                   6              9834928         5.0000000000000000E+02         4.2300000000000000E+02        -2.7703296000005339E+04                   0                18432                    0                    0               -26442                 8154
                   7              9836125         6.0000000000000000E+02         4.2300000000000000E+02        -2.7698796000005339E+04                   0                18429                    0                    0               -26439                 8154
                   8              9837216         7.0000000000000000E+02         4.2300000000000000E+02        -2.7698796000005339E+04                   0                18429                    0                    0               -26439                 8154
                   9              9838260         8.0000000000000000E+02         4.2300000000000000E+02        -2.7695796000005339E+04                   0                18427                    0                    0               -26437                 8154
                  10              9839327         9.0000000000000000E+02         4.2300000000000000E+02        -2.7701796000005339E+04                   0                18431                    0                    0               -26441                 8154
                  11              9840419         1.0000000000000000E+03         4.2300000000000000E+02        -2.7695796000005339E+04                   0                18427                    0                    0               -26437                 8154
                  12              9841581         1.1000000000000000E+03         4.2300000000000000E+02        -2.7703296000005339E+04                   0                18432                    0                    0               -26442                 8154
                  13              9842750         1.2000000000000000E+03         4.2300000000000000E+02        -2.7700296000005339E+04                   0                18430                    0                    0               -26440                 8154
                  14              9843791         1.3000000000000000E+03         4.2300000000000000E+02        -2.7701796000005339E+04                   0                18431                    0                    0               -26441                 8154
                  15              9844998         1.4000000000000000E+03         4.2300000000000000E+02        -2.7698796000005339E+04                   0                18429                    0                    0               -26439                 8154
                  16              9846167         1.5000000000000000E+03         4.2300000000000000E+02        -2.7697296000005339E+04                   0                18428                    0                    0               -26438                 8154
                  17              9847254         1.6000000000000000E+03         4.2300000000000000E+02        -2.7700296000005339E+04                   0                18430                    0                    0               -26440                 8154
                  18              9848313         1.7000000000000000E+03         4.2300000000000000E+02        -2.7700296000005339E+04                   0                18430                    0                    0               -26440                 8154
                  19              9849604         1.8000000000000000E+03         4.2300000000000000E+02        -2.7698796000005339E+04                   0                18429                    0                    0               -26439                 8154
                  20              9850808         1.9000000000000000E+03         4.2300000000000000E+02        -2.7700296000005339E+04                   0                18430                    0                    0               -26440                 8154
                  21              9851893         2.0000000000000000E+03         4.2300000000000000E+02        -2.7697296000005339E+04                   0                18428                    0                    0               -26438                 8154
                  22              9853019         2.1000000000000000E+03         4.2300000000000000E+02        -2.7698796000005339E+04                   0                18429                    0                    0               -26439                 8154
                  23              9854230         2.2000000000000000E+03         4.2300000000000000E+02        -2.7700296000005339E+04                   0                18430                    0                    0               -26440                 8154
