Reaction_Descrp,Parameter,Values,Units
,T,320,K
,P,1.00E-08,bar
,R,8.31446,JK^-1mol^-1
r1,k1f,5.81E-02,-
,k1r,5.81E-02,-
r2,k2f,7.69E+02,-
,k2r,1.30E+16,-
r3,k3f,5.30E+03,-
,k3r,3.63E+13,-
r4,k4f,9.35E-01,-
,k4r,0.00E+00,-
const,a1f,1.00E+00,-
const,a1r,1.00E+00,-
const,a2f,1.00E+00,-
const,a2r,1.00E+00,-
const,a3f,1.00E+00,-
const,a3r,1.00E+00,-
const,a4f,1.00E+00,-
const,a4r,1.00E+00,-
const,b1f,1.00E+00,-
const,b1r,1.00E+00,-
const,b2f,1.00E+00,-
const,b2r,1.00E+00,-
const,b3f,1.00E+00,-
const,b3r,1.00E+00,-
const,b4f,1.00E+00,-
const,b4r,1.00E+00,-
