               Entry              Nevents                           Time                    Temperature                         Energy                  O*                  CO*                  O2*                   O2                   CO                  CO2
                   1                    0         0.0000000000000000E+00         4.2300000000000000E+02        -5.5295999999999999E+01                   0                    0                    0                    0                    0                    0
                   2              1419567         1.0000000000000000E+00         4.2300000000000000E+02        -3.9052272999996526E+03                1094                 1841                    0                 -628                -2003                  162
                   3              1656888         2.0000000000000000E+00         4.2300000000000000E+02        -3.9703160999996903E+03                1034                 1930                    0                 -665                -2226                  296
                   4              1913954         3.0000000000000000E+00         4.2300000000000000E+02        -3.9917326999997517E+03                 965                 1999                    1                 -705                -2442                  443
                   5              2228422         4.0000000000000000E+00         4.2300000000000000E+02        -3.9992487999997888E+03                 899                 2047                    0                 -748                -2644                  597
                   6              2479045         5.0000000000000000E+00         4.2300000000000000E+02        -4.0199069999998624E+03                 834                 2110                    0                 -780                -2836                  726
                   7              2709754         6.0000000000000000E+00         4.2300000000000000E+02        -4.0656846999998766E+03                 769                 2185                    0                 -809                -3034                  849
                   8              2892908         7.0000000000000000E+00         4.2300000000000000E+02        -4.0863264999998992E+03                 717                 2237                    0                 -837                -3194                  957
                   9              3123290         8.0000000000000000E+00         4.2300000000000000E+02        -4.0853410000016220E+03                 678                 2264                    0                 -879                -3344                 1080
                  10              3320845         9.0000000000000000E+00         4.2300000000000000E+02        -4.1108911000048038E+03                 640                 2308                    1                 -918                -3502                 1194
                  11              3494705         1.0000000000000000E+01         4.2300000000000000E+02        -4.1043148000064657E+03                 604                 2329                    0                 -951                -3627                 1298
                  12              3693745         1.1000000000000000E+01         4.2300000000000000E+02        -4.1356239000078658E+03                 574                 2372                    0                 -987                -3772                 1400
                  13              3865780         1.2000000000000000E+01         4.2300000000000000E+02        -4.1263144000078410E+03                 549                 2384                    0                -1018                -3871                 1487
                  14              4003135         1.3000000000000000E+01         4.2300000000000000E+02        -4.1570487000079993E+03                 529                 2422                    0                -1046                -3985                 1563
                  15              4183168         1.4000000000000000E+01         4.2300000000000000E+02        -4.1431297000079030E+03                 506                 2425                    0                -1080                -4079                 1654
                  16              4327855         1.5000000000000000E+01         4.2300000000000000E+02        -4.1466065000078561E+03                 485                 2443                    1                -1110                -4176                 1733
                  17              4461637         1.6000000000000000E+01         4.2300000000000000E+02        -4.1601303000079524E+03                 452                 2477                    0                -1134                -4293                 1816
                  18              4589543         1.7000000000000000E+01         4.2300000000000000E+02        -4.1685896000080438E+03                 439                 2493                    0                -1161                -4376                 1883
                  19              4727537         1.8000000000000000E+01         4.2300000000000000E+02        -4.1478852000079405E+03                 448                 2472                    0                -1203                -4430                 1958
                  20              4892629         1.9000000000000000E+01         4.2300000000000000E+02        -4.1853122000080493E+03                 428                 2510                    1                -1239                -4558                 2048
                  21              5041192         2.0000000000000000E+01         4.2300000000000000E+02        -4.1816878000079550E+03                 397                 2531                    1                -1265                -4662                 2131
                  22              5198651         2.1000000000000000E+01         4.2300000000000000E+02        -4.1748740000078906E+03                 393                 2527                    0                -1299                -4732                 2205
                  23              5341868         2.2000000000000000E+01         4.2300000000000000E+02        -4.2018228000080144E+03                 386                 2552                    0                -1334                -4834                 2282
                  24              5502711         2.3000000000000000E+01         4.2300000000000000E+02        -4.1880137000079703E+03                 379                 2545                    0                -1368                -4902                 2357
                  25              5601842         2.4000000000000000E+01         4.2300000000000000E+02        -4.2067971000080042E+03                 375                 2564                    0                -1390                -4969                 2405
                  26              5713633         2.5000000000000000E+01         4.2300000000000000E+02        -4.1882172000080773E+03                 369                 2552                    1                -1420                -5021                 2469
