               Entry              Nevents                           Time                    Temperature                         Energy                  O*                  CO*                  O2*                   O2                   CO                  CO2
                   1                    0         0.0000000000000000E+00         4.2300000000000000E+02        -9.0771797999999962E+03                8154                  144                    0                    0                    0                    0
                   2              2884884         1.0000000000000000E+02         4.2300000000000000E+02        -1.3866786600001406E+04               13258                    0                    0                -2624                    0                  144
                   3              3298674         2.0000000000000000E+02         4.2300000000000000E+02        -1.4629511400001926E+04               14072                    0                    0                -3031                    0                  144
                   4              3543338         3.0000000000000000E+02         4.2300000000000000E+02        -1.5057566400002244E+04               14532                    0                    0                -3261                    0                  144
                   5              3724435         4.0000000000000000E+02         4.2300000000000000E+02        -1.5355095600002434E+04               14848                    0                    0                -3419                    0                  144
                   6              3861815         5.0000000000000000E+02         4.2300000000000000E+02        -1.5590090600002588E+04               15098                    0                    0                -3544                    0                  144
                   7              3960961         6.0000000000000000E+02         4.2300000000000000E+02        -1.5747505200002695E+04               15266                    0                    0                -3628                    0                  144
                   8              4049222         7.0000000000000000E+02         4.2300000000000000E+02        -1.5911642000002797E+04               15440                    0                    0                -3715                    0                  144
                   9              4124548         8.0000000000000000E+02         4.2300000000000000E+02        -1.6040307400002925E+04               15582                    0                    0                -3786                    0                  144
                  10              4195318         9.0000000000000000E+02         4.2300000000000000E+02        -1.6163841400002993E+04               15712                    0                    0                -3851                    0                  144
                  11              4246971         1.0000000000000000E+03         4.2300000000000000E+02        -1.6246188000003051E+04               15800                    0                    0                -3895                    0                  144
                  12              4284494         1.1000000000000000E+03         4.2300000000000000E+02        -1.6307581200003096E+04               15866                    0                    0                -3928                    0                  144
                  13              4318417         1.2000000000000000E+03         4.2300000000000000E+02        -1.6358301000003130E+04               15920                    0                    0                -3955                    0                  144
                  14              4350499         1.3000000000000000E+03         4.2300000000000000E+02        -1.6423578000002984E+04               15990                    0                    0                -3990                    0                  144
                  15              4382342         1.4000000000000000E+03         4.2300000000000000E+02        -1.6485066800002918E+04               16054                    0                    0                -4022                    0                  144
                  16              4412847         1.5000000000000000E+03         4.2300000000000000E+02        -1.6532296200002856E+04               16106                    0                    0                -4048                    0                  144
                  17              4442148         1.6000000000000000E+03         4.2300000000000000E+02        -1.6583898400002792E+04               16162                    0                    0                -4076                    0                  144
                  18              4470755         1.7000000000000000E+03         4.2300000000000000E+02        -1.6635596200002736E+04               16216                    0                    0                -4103                    0                  144
