               Entry              Nevents                           Time                    Temperature                         Energy                  O*                  CO*                  O2*                   O2                   CO                  CO2
                   1                    0         0.0000000000000000E+00         4.2300000000000000E+02        -9.0771797999999962E+03                8154                  144                    0                    0                    0                    0
                   2              1821857         1.0000000000000000E+00         4.2300000000000000E+02        -8.9650390000001116E+03                7600                  453                    0                 -284                -1431                 1122
                   3              3727032         2.0000000000000000E+00         4.2300000000000000E+02        -8.3963062000003465E+03                6996                  501                    0                 -710                -2935                 2578
                   4              5665197         3.0000000000000000E+00         4.2300000000000000E+02        -7.8859230000004218E+03                6465                  541                    0                -1243                -4572                 4175
                   5              7570616         4.0000000000000000E+00         4.2300000000000000E+02        -7.5556234000003506E+03                6097                  584                    0                -1838                -6173                 5733
                   6              9396482         5.0000000000000000E+00         4.2300000000000000E+02        -7.4388456000003025E+03                5908                  644                    0                -2522                -7790                 7290
                   7             11390658         6.0000000000000000E+00         4.2300000000000000E+02        -7.2147440000002625E+03                5690                  650                    0                -3232                -9434                 8928
                   8             13346413         7.0000000000000000E+00         4.2300000000000000E+02        -7.2131470000002391E+03                5610                  708                    0                -4016               -11140                10576
                   9             15369714         8.0000000000000000E+00         4.2300000000000000E+02        -6.9889208000002027E+03                5419                  695                    0                -4774               -12834                12283
                  10             17296528         9.0000000000000000E+00         4.2300000000000000E+02        -6.8962238000001680E+03                5309                  715                    0                -5549               -14514                13943
                  11             19329044         1.0000000000000000E+01         4.2300000000000000E+02        -6.8805076000001836E+03                5273                  725                    0                -6367               -16196                15615
                  12             21183514         1.1000000000000000E+01         4.2300000000000000E+02        -6.7685320000001657E+03                5235                  680                    0                -7192               -17839                17303
                  13             23124395         1.2000000000000000E+01         4.2300000000000000E+02        -6.9195222000001877E+03                5291                  738                    0                -8044               -19545                18951
                  14             25131147         1.3000000000000000E+01         4.2300000000000000E+02        -6.8863932000001505E+03                5171                  805                    0                -8839               -21322                20661
                  15             27082719         1.4000000000000000E+01         4.2300000000000000E+02        -6.7486382000001349E+03                5111                  757                    0                -9703               -23062                22449
                  16             29080208         1.5000000000000000E+01         4.2300000000000000E+02        -6.6430948000001081E+03                4984                  778                    0               -10512               -24828                24194
                  17             31012048         1.6000000000000000E+01         4.2300000000000000E+02        -6.6637954000001127E+03                4997                  782                    0               -11404               -26603                25965
                  18             32907256         1.7000000000000000E+01         4.2300000000000000E+02        -6.6881322000001301E+03                5051                  758                    0               -12300               -28317                27703
                  19             34843768         1.8000000000000000E+01         4.2300000000000000E+02        -6.6833194000001158E+03                4987                  801                    0               -13112               -30048                29391
                  20             36812459         1.9000000000000000E+01         4.2300000000000000E+02        -6.5654316000001108E+03                4958                  743                    0               -13994               -31783                31184
                  21             38766164         2.0000000000000000E+01         4.2300000000000000E+02        -6.7080520000001134E+03                5005                  806                    0               -14870               -33551                32889
                  22             40703954         2.1000000000000000E+01         4.2300000000000000E+02        -6.6144680000001154E+03                4950                  780                    0               -15737               -35314                34678
                  23             42640958         2.2000000000000000E+01         4.2300000000000000E+02        -6.6447990000001037E+03                4935                  813                    0               -16590               -37068                36399
                  24             44615532         2.3000000000000000E+01         4.2300000000000000E+02        -6.7164614000001220E+03                4982                  825                    0               -17495               -38843                38162
                  25             46540848         2.4000000000000000E+01         4.2300000000000000E+02        -6.6169616000001042E+03                4928                  799                    0               -18355               -40591                39936
                  26             48450263         2.5000000000000000E+01         4.2300000000000000E+02        -6.7541134000001030E+03                4947                  878                    0               -19236               -42413                41679
                  27             50389814         2.6000000000000000E+01         4.2300000000000000E+02        -6.6926850000001059E+03                4955                  831                    0               -20117               -44120                43433
                  28             52272267         2.7000000000000000E+01         4.2300000000000000E+02        -6.6432554000001091E+03                4942                  806                    0               -20990               -45854                45192
                  29             54212191         2.8000000000000000E+01         4.2300000000000000E+02        -6.6714410000001035E+03                4975                  804                    0               -21873               -47585                46925
                  30             56145479         2.9000000000000000E+01         4.2300000000000000E+02        -6.5514980000000733E+03                4805                  845                    0               -22656               -49362                48661
                  31             58202830         3.0000000000000000E+01         4.2300000000000000E+02        -6.6307834000000821E+03                4842                  871                    0               -23575               -51189                50462
                  32             60156038         3.1000000000000000E+01         4.2300000000000000E+02        -6.5379756000000762E+03                4798                  840                    0               -24467               -52986                52290
                  33             62067797         3.2000000000000000E+01         4.2300000000000000E+02        -6.5965606000000980E+03                4883                  817                    0               -25393               -54730                54057
                  34             64040270         3.3000000000000000E+01         4.2300000000000000E+02        -6.6001288000000923E+03                4899                  810                    0               -26297               -56515                55849
                  35             66079844         3.4000000000000000E+01         4.2300000000000000E+02        -6.5621160000000909E+03                4890                  791                    0               -27197               -58305                57658
                  36             68071733         3.5000000000000000E+01         4.2300000000000000E+02        -6.6618560000001235E+03                4960                  803                    0               -28117               -60087                59428
                  37             70136004         3.6000000000000000E+01         4.2300000000000000E+02        -6.6735176000001147E+03                5003                  784                    0               -29037               -61865                61225
                  38             72071617         3.7000000000000000E+01         4.2300000000000000E+02        -6.5877368000001143E+03                4979                  743                    0               -29891               -63556                62957
                  39             74053684         3.8000000000000000E+01         4.2300000000000000E+02        -6.6866348000001180E+03                4994                  798                    0               -30768               -65350                64696
                  40             75961727         3.9000000000000000E+01         4.2300000000000000E+02        -6.5315396000000974E+03                4923                  747                    0               -31605               -67044                66441
                  41             77894820         4.0000000000000000E+01         4.2300000000000000E+02        -6.6108344000001052E+03                4932                  792                    0               -32473               -68816                68168
                  42             79729569         4.1000000000000000E+01         4.2300000000000000E+02        -6.6347294000001002E+03                4962                  789                    0               -33344               -70525                69880
                  43             81791684         4.2000000000000000E+01         4.2300000000000000E+02        -6.5803466000001035E+03                4953                  758                    0               -34214               -72243                71629
                  44             83769493         4.3000000000000000E+01         4.2300000000000000E+02        -6.6554130000001160E+03                4995                  777                    0               -35105               -74002                73369
                  45             85707939         4.4000000000000000E+01         4.2300000000000000E+02        -6.6115604000001094E+03                4982                  758                    0               -35991               -75768                75154
                  46             87634591         4.5000000000000000E+01         4.2300000000000000E+02        -6.5571282000000892E+03                4911                  774                    0               -36838               -77549                76919
                  47             89701414         4.6000000000000000E+01         4.2300000000000000E+02        -6.5682094000000798E+03                4862                  816                    1               -37716               -79394                78722
                  48             91605122         4.7000000000000000E+01         4.2300000000000000E+02        -6.6197014000000772E+03                4867                  848                    0               -38585               -81161                80457
                  49             93641752         4.8000000000000000E+01         4.2300000000000000E+02        -6.5217500000000864E+03                4835                  802                    0               -39506               -82989                82331
                  50             95553755         4.9000000000000000E+01         4.2300000000000000E+02        -6.6084688000000797E+03                4849                  852                    0               -40370               -84753                84045
                  51             97623307         5.0000000000000000E+01         4.2300000000000000E+02        -6.3946950000000579E+03                4720                  801                    0               -41223               -86537                85880
                  52             99599642         5.1000000000000000E+01         4.2300000000000000E+02        -6.5091350000000712E+03                4780                  834                    0               -42123               -88310                87620
                  53            101536548         5.2000000000000000E+01         4.2300000000000000E+02        -6.5131802000000653E+03                4801                  824                    0               -43014               -90061                89381
                  54            103501320         5.3000000000000000E+01         4.2300000000000000E+02        -6.4545610000000624E+03                4775                  803                    0               -43897               -91832                91173
                  55            105423785         5.4000000000000000E+01         4.2300000000000000E+02        -6.5178092000000879E+03                4841                  795                    0               -44786               -93536                92885
                  56            107398405         5.5000000000000000E+01         4.2300000000000000E+02        -6.5343422000000837E+03                4841                  807                    0               -45679               -95334                94671
                  57            109278027         5.6000000000000000E+01         4.2300000000000000E+02        -6.5860618000000977E+03                4904                  796                    0               -46583               -97068                96416
                  58            111161210         5.7000000000000000E+01         4.2300000000000000E+02        -6.5830592000001097E+03                4961                  753                    0               -47483               -98768                98159
                  59            113151888         5.8000000000000000E+01         4.2300000000000000E+02        -6.7305390000001298E+03                5050                  787                    0               -48386              -100519                99876
                  60            115201347         5.9000000000000000E+01         4.2300000000000000E+02        -6.7904700000001294E+03                5065                  817                    0               -49281              -102324               101651
                  61            117145096         6.0000000000000000E+01         4.2300000000000000E+02        -6.6429520000001230E+03                5010                  757                    0               -50144              -104045               103432
                  62            119101176         6.1000000000000000E+01         4.2300000000000000E+02        -6.7037670000001399E+03                5090                  740                    0               -51023              -105706               105110
                  63            121039044         6.2000000000000000E+01         4.2300000000000000E+02        -6.7408470000001389E+03                5075                  775                    0               -51876              -107462               106831
                  64            122994468         6.3000000000000000E+01         4.2300000000000000E+02        -6.6867194000001191E+03                5037                  769                    0               -52745              -109232               108607
                  65            124968769         6.4000000000000000E+01         4.2300000000000000E+02        -6.6633872000001102E+03                4996                  783                    0               -53595              -110987               110348
                  66            126886073         6.5000000000000000E+01         4.2300000000000000E+02        -6.6559270000001170E+03                5025                  757                    0               -54477              -112696               112083
                  67            128858288         6.6000000000000000E+01         4.2300000000000000E+02        -6.7611128000001354E+03                5074                  790                    0               -55354              -114434               113788
                  68            130726011         6.7000000000000000E+01         4.2300000000000000E+02        -6.7279698000001326E+03                5039                  792                    0               -56203              -116169               115521
                  69            132634578         6.8000000000000000E+01         4.2300000000000000E+02        -6.7184822000001486E+03                5121                  727                    0               -57112              -117840               117257
                  70            134593581         6.9000000000000000E+01         4.2300000000000000E+02        -6.7576942000001372E+03                5061                  796                    0               -57929              -119603               118951
                  71            136602104         7.0000000000000000E+01         4.2300000000000000E+02        -6.6522262000001156E+03                4986                  781                    0               -58794              -121393               120756
                  72            138547856         7.1000000000000000E+01         4.2300000000000000E+02        -6.6665412000001179E+03                4986                  790                    0               -59647              -123108               122462
                  73            140377560         7.2000000000000000E+01         4.2300000000000000E+02        -6.7533094000001347E+03                5062                  793                    0               -60536              -124813               124164
                  74            142387968         7.3000000000000000E+01         4.2300000000000000E+02        -6.6801690000000926E+03                4980                  809                    0               -61382              -126603               125938
                  75            144248426         7.4000000000000000E+01         4.2300000000000000E+02        -6.6955646000001179E+03                4988                  808                    0               -62249              -128328               127664
                  76            146112173         7.5000000000000000E+01         4.2300000000000000E+02        -6.7640504000001283E+03                5057                  805                    0               -63136              -130030               129369
                  77            148059523         7.6000000000000000E+01         4.2300000000000000E+02        -6.7501452000001200E+03                4961                  862                    0               -63947              -131805               131087
                  78            149987275         7.7000000000000000E+01         4.2300000000000000E+02        -6.7362538000001032E+03                4959                  858                    0               -64828              -133565               132851
                  79            151966848         7.8000000000000000E+01         4.2300000000000000E+02        -6.6483366000001015E+03                4993                  777                    0               -65708              -135210               134577
                  80            153967051         7.9000000000000000E+01         4.2300000000000000E+02        -6.7569666000001271E+03                5028                  820                    0               -66577              -136956               136280
                  81            156013418         8.0000000000000000E+01         4.2300000000000000E+02        -6.5589360000001016E+03                4910                  773                    0               -67427              -138727               138098
                  82            157879396         8.1000000000000000E+01         4.2300000000000000E+02        -6.6775008000001080E+03                4969                  811                    0               -68313              -140478               139811
                  83            159799877         8.2000000000000000E+01         4.2300000000000000E+02        -6.5818440000001010E+03                4930                  775                    0               -69172              -142199               141568
                  84            161713522         8.3000000000000000E+01         4.2300000000000000E+02        -6.6042542000001094E+03                4921                  794                    0               -70040              -143963               143313
                  85            163612781         8.4000000000000000E+01         4.2300000000000000E+02        -6.5958380000000898E+03                4915                  797                    0               -70911              -145714               145061
                  86            165612244         8.5000000000000000E+01         4.2300000000000000E+02        -6.5659950000001063E+03                4890                  790                    0               -71795              -147500               146854
                  87            167625064         8.6000000000000000E+01         4.2300000000000000E+02        -6.6489412000001066E+03                4956                  801                    0               -72692              -149239               148582
                  88            169553810         8.7000000000000000E+01         4.2300000000000000E+02        -6.6633636000001134E+03                4968                  801                    0               -73580              -151003               150346
                  89            171487957         8.8000000000000000E+01         4.2300000000000000E+02        -6.5893094000000992E+03                4947                  769                    0               -74434              -152700               152075
                  90            173406485         8.9000000000000000E+01         4.2300000000000000E+02        -6.5981640000001116E+03                4950                  770                    0               -75300              -154430               153804
                  91            175263320         9.0000000000000000E+01         4.2300000000000000E+02        -6.6565886000001210E+03                4978                  788                    0               -76160              -156140               155496
