               Entry              Nevents                           Time                    Temperature                         Energy                  O*                  CO*                  O2*                   O2                   CO                  CO2
                   1                    0         0.0000000000000000E+00         4.2300000000000000E+02        -9.3386167999997451E+03                6144                 2048                    0                    0                    0                    0
                   2              8986620         1.0000000000000000E+02         4.2300000000000000E+02        -2.7581795999999729E+04                   0                18351                    0                    0               -22447                 6144
                   3              8999169         2.0000000000000000E+02         4.2300000000000000E+02        -2.7568295999999729E+04                   0                18342                    0                    0               -22438                 6144
                   4              9002060         3.0000000000000000E+02         4.2300000000000000E+02        -2.7575795999999729E+04                   0                18347                    0                    0               -22443                 6144
                   5              9005166         4.0000000000000000E+02         4.2300000000000000E+02        -2.7571295999999729E+04                   0                18344                    0                    0               -22440                 6144
                   6              9008203         5.0000000000000000E+02         4.2300000000000000E+02        -2.7563795999999729E+04                   0                18339                    0                    0               -22435                 6144
                   7              9011738         6.0000000000000000E+02         4.2300000000000000E+02        -2.7580295999999729E+04                   0                18350                    0                    0               -22446                 6144
                   8              9015083         7.0000000000000000E+02         4.2300000000000000E+02        -2.7578795999999729E+04                   0                18349                    0                    0               -22445                 6144
                   9              9018392         8.0000000000000000E+02         4.2300000000000000E+02        -2.7566795999999729E+04                   0                18341                    0                    0               -22437                 6144
                  10              9020370         9.0000000000000000E+02         4.2300000000000000E+02        -2.7577295999999729E+04                   0                18348                    0                    0               -22444                 6144
                  11              9020954         1.0000000000000000E+03         4.2300000000000000E+02        -2.7578795999999729E+04                   0                18349                    0                    0               -22445                 6144
                  12              9021516         1.1000000000000000E+03         4.2300000000000000E+02        -2.7574295999999729E+04                   0                18346                    0                    0               -22442                 6144
                  13              9022221         1.2000000000000000E+03         4.2300000000000000E+02        -2.7589295999999729E+04                   0                18356                    0                    0               -22452                 6144
                  14              9023043         1.3000000000000000E+03         4.2300000000000000E+02        -2.7587795999999729E+04                   0                18355                    0                    0               -22451                 6144
                  15              9023824         1.4000000000000000E+03         4.2300000000000000E+02        -2.7583295999999729E+04                   0                18352                    0                    0               -22448                 6144
                  16              9024389         1.5000000000000000E+03         4.2300000000000000E+02        -2.7598295999999729E+04                   0                18362                    0                    0               -22458                 6144
                  17              9024959         1.6000000000000000E+03         4.2300000000000000E+02        -2.7575795999999729E+04                   0                18347                    0                    0               -22443                 6144
                  18              9025514         1.7000000000000000E+03         4.2300000000000000E+02        -2.7571295999999729E+04                   0                18344                    0                    0               -22440                 6144
                  19              9026091         1.8000000000000000E+03         4.2300000000000000E+02        -2.7577295999999729E+04                   0                18348                    0                    0               -22444                 6144
                  20              9026609         1.9000000000000000E+03         4.2300000000000000E+02        -2.7589295999999729E+04                   0                18356                    0                    0               -22452                 6144
                  21              9027186         2.0000000000000000E+03         4.2300000000000000E+02        -2.7590795999999729E+04                   0                18357                    0                    0               -22453                 6144
                  22              9027831         2.1000000000000000E+03         4.2300000000000000E+02        -2.7586295999999729E+04                   0                18354                    0                    0               -22450                 6144
                  23              9028470         2.2000000000000000E+03         4.2300000000000000E+02        -2.7595295999999729E+04                   0                18360                    0                    0               -22456                 6144
                  24              9028956         2.3000000000000000E+03         4.2300000000000000E+02        -2.7604295999999729E+04                   0                18366                    0                    0               -22462                 6144
                  25              9029623         2.4000000000000000E+03         4.2300000000000000E+02        -2.7598295999999729E+04                   0                18362                    0                    0               -22458                 6144
                  26              9030165         2.5000000000000000E+03         4.2300000000000000E+02        -2.7587795999999729E+04                   0                18355                    0                    0               -22451                 6144
                  27              9030729         2.6000000000000000E+03         4.2300000000000000E+02        -2.7587795999999729E+04                   0                18355                    0                    0               -22451                 6144
                  28              9031409         2.7000000000000000E+03         4.2300000000000000E+02        -2.7593795999999729E+04                   0                18359                    0                    0               -22455                 6144
                  29              9032177         2.8000000000000000E+03         4.2300000000000000E+02        -2.7554795999999729E+04                   0                18333                    0                    0               -22429                 6144
                  30              9032954         2.9000000000000000E+03         4.2300000000000000E+02        -2.7566795999999729E+04                   0                18341                    0                    0               -22437                 6144
                  31              9033530         3.0000000000000000E+03         4.2300000000000000E+02        -2.7568295999999729E+04                   0                18342                    0                    0               -22438                 6144
                  32              9034156         3.1000000000000000E+03         4.2300000000000000E+02        -2.7578795999999729E+04                   0                18349                    0                    0               -22445                 6144
                  33              9034897         3.2000000000000000E+03         4.2300000000000000E+02        -2.7592295999999729E+04                   0                18358                    0                    0               -22454                 6144
                  34              9035613         3.3000000000000000E+03         4.2300000000000000E+02        -2.7583295999999729E+04                   0                18352                    0                    0               -22448                 6144
                  35              9036239         3.4000000000000000E+03         4.2300000000000000E+02        -2.7578795999999729E+04                   0                18349                    0                    0               -22445                 6144
                  36              9037049         3.5000000000000000E+03         4.2300000000000000E+02        -2.7584795999999729E+04                   0                18353                    0                    0               -22449                 6144
                  37              9037661         3.6000000000000000E+03         4.2300000000000000E+02        -2.7578795999999729E+04                   0                18349                    0                    0               -22445                 6144
                  38              9038312         3.7000000000000000E+03         4.2300000000000000E+02        -2.7572795999999729E+04                   0                18345                    0                    0               -22441                 6144
                  39              9039017         3.8000000000000000E+03         4.2300000000000000E+02        -2.7575795999999729E+04                   0                18347                    0                    0               -22443                 6144
                  40              9039633         3.9000000000000000E+03         4.2300000000000000E+02        -2.7589295999999729E+04                   0                18356                    0                    0               -22452                 6144
                  41              9040326         4.0000000000000000E+03         4.2300000000000000E+02        -2.7583295999999729E+04                   0                18352                    0                    0               -22448                 6144
                  42              9040915         4.1000000000000000E+03         4.2300000000000000E+02        -2.7584795999999729E+04                   0                18353                    0                    0               -22449                 6144
                  43              9041402         4.2000000000000000E+03         4.2300000000000000E+02        -2.7610295999999729E+04                   0                18370                    0                    0               -22466                 6144
                  44              9041916         4.3000000000000000E+03         4.2300000000000000E+02        -2.7608795999999729E+04                   0                18369                    0                    0               -22465                 6144
                  45              9042093         4.4000000000000000E+03         4.2300000000000000E+02        -2.7605795999999729E+04                   0                18367                    0                    0               -22463                 6144
                  46              9042184         4.5000000000000000E+03         4.2300000000000000E+02        -2.7602795999999729E+04                   0                18365                    0                    0               -22461                 6144
                  47              9042293         4.6000000000000000E+03         4.2300000000000000E+02        -2.7595295999999729E+04                   0                18360                    0                    0               -22456                 6144
                  48              9042394         4.7000000000000000E+03         4.2300000000000000E+02        -2.7593795999999729E+04                   0                18359                    0                    0               -22455                 6144
                  49              9042502         4.8000000000000000E+03         4.2300000000000000E+02        -2.7601295999999729E+04                   0                18364                    0                    0               -22460                 6144
                  50              9042602         4.9000000000000000E+03         4.2300000000000000E+02        -2.7586295999999729E+04                   0                18354                    0                    0               -22450                 6144
                  51              9042724         5.0000000000000000E+03         4.2300000000000000E+02        -2.7584795999999729E+04                   0                18353                    0                    0               -22449                 6144
                  52              9042891         5.1000000000000000E+03         4.2300000000000000E+02        -2.7580295999999729E+04                   0                18350                    0                    0               -22446                 6144
                  53              9043015         5.2000000000000000E+03         4.2300000000000000E+02        -2.7586295999999729E+04                   0                18354                    0                    0               -22450                 6144
                  54              9043121         5.3000000000000000E+03         4.2300000000000000E+02        -2.7583295999999729E+04                   0                18352                    0                    0               -22448                 6144
                  55              9043223         5.4000000000000000E+03         4.2300000000000000E+02        -2.7601295999999729E+04                   0                18364                    0                    0               -22460                 6144
                  56              9043337         5.5000000000000000E+03         4.2300000000000000E+02        -2.7593795999999729E+04                   0                18359                    0                    0               -22455                 6144
                  57              9043446         5.6000000000000000E+03         4.2300000000000000E+02        -2.7601295999999729E+04                   0                18364                    0                    0               -22460                 6144
                  58              9043545         5.7000000000000000E+03         4.2300000000000000E+02        -2.7605795999999729E+04                   0                18367                    0                    0               -22463                 6144
                  59              9043639         5.8000000000000000E+03         4.2300000000000000E+02        -2.7590795999999729E+04                   0                18357                    0                    0               -22453                 6144
                  60              9043772         5.9000000000000000E+03         4.2300000000000000E+02        -2.7592295999999729E+04                   0                18358                    0                    0               -22454                 6144
                  61              9043883         6.0000000000000000E+03         4.2300000000000000E+02        -2.7593795999999729E+04                   0                18359                    0                    0               -22455                 6144
                  62              9043974         6.1000000000000000E+03         4.2300000000000000E+02        -2.7584795999999729E+04                   0                18353                    0                    0               -22449                 6144
                  63              9044058         6.2000000000000000E+03         4.2300000000000000E+02        -2.7587795999999729E+04                   0                18355                    0                    0               -22451                 6144
                  64              9044150         6.3000000000000000E+03         4.2300000000000000E+02        -2.7575795999999729E+04                   0                18347                    0                    0               -22443                 6144
                  65              9044285         6.4000000000000000E+03         4.2300000000000000E+02        -2.7560795999999729E+04                   0                18337                    0                    0               -22433                 6144
                  66              9044411         6.5000000000000000E+03         4.2300000000000000E+02        -2.7566795999999729E+04                   0                18341                    0                    0               -22437                 6144
                  67              9044546         6.6000000000000000E+03         4.2300000000000000E+02        -2.7559295999999729E+04                   0                18336                    0                    0               -22432                 6144
                  68              9044672         6.7000000000000000E+03         4.2300000000000000E+02        -2.7556295999999729E+04                   0                18334                    0                    0               -22430                 6144
                  69              9044804         6.8000000000000000E+03         4.2300000000000000E+02        -2.7551795999999729E+04                   0                18331                    0                    0               -22427                 6144
                  70              9044920         6.9000000000000000E+03         4.2300000000000000E+02        -2.7556295999999729E+04                   0                18334                    0                    0               -22430                 6144
                  71              9045066         7.0000000000000000E+03         4.2300000000000000E+02        -2.7553295999999729E+04                   0                18332                    0                    0               -22428                 6144
                  72              9045204         7.1000000000000000E+03         4.2300000000000000E+02        -2.7541295999999729E+04                   0                18324                    0                    0               -22420                 6144
                  73              9045339         7.2000000000000000E+03         4.2300000000000000E+02        -2.7544295999999729E+04                   0                18326                    0                    0               -22422                 6144
                  74              9045516         7.3000000000000000E+03         4.2300000000000000E+02        -2.7547295999999729E+04                   0                18328                    0                    0               -22424                 6144
                  75              9045674         7.4000000000000000E+03         4.2300000000000000E+02        -2.7539795999999729E+04                   0                18323                    0                    0               -22419                 6144
                  76              9045821         7.5000000000000000E+03         4.2300000000000000E+02        -2.7524795999999729E+04                   0                18313                    0                    0               -22409                 6144
                  77              9045983         7.6000000000000000E+03         4.2300000000000000E+02        -2.7527795999999729E+04                   0                18315                    0                    0               -22411                 6144
                  78              9046155         7.7000000000000000E+03         4.2300000000000000E+02        -2.7520295999999729E+04                   0                18310                    0                    0               -22406                 6144
                  79              9046320         7.8000000000000000E+03         4.2300000000000000E+02        -2.7524795999999729E+04                   0                18313                    0                    0               -22409                 6144
                  80              9046478         7.9000000000000000E+03         4.2300000000000000E+02        -2.7526295999999729E+04                   0                18314                    0                    0               -22410                 6144
                  81              9046639         8.0000000000000000E+03         4.2300000000000000E+02        -2.7556295999999729E+04                   0                18334                    0                    0               -22430                 6144
                  82              9046807         8.1000000000000000E+03         4.2300000000000000E+02        -2.7554795999999729E+04                   0                18333                    0                    0               -22429                 6144
                  83              9046929         8.2000000000000000E+03         4.2300000000000000E+02        -2.7566795999999729E+04                   0                18341                    0                    0               -22437                 6144
                  84              9047058         8.3000000000000000E+03         4.2300000000000000E+02        -2.7551795999999729E+04                   0                18331                    0                    0               -22427                 6144
                  85              9047267         8.4000000000000000E+03         4.2300000000000000E+02        -2.7551795999999729E+04                   0                18331                    0                    0               -22427                 6144
                  86              9047417         8.5000000000000000E+03         4.2300000000000000E+02        -2.7553295999999729E+04                   0                18332                    0                    0               -22428                 6144
                  87              9047532         8.6000000000000000E+03         4.2300000000000000E+02        -2.7565295999999729E+04                   0                18340                    0                    0               -22436                 6144
                  88              9047653         8.7000000000000000E+03         4.2300000000000000E+02        -2.7563795999999729E+04                   0                18339                    0                    0               -22435                 6144
                  89              9047760         8.8000000000000000E+03         4.2300000000000000E+02        -2.7569795999999729E+04                   0                18343                    0                    0               -22439                 6144
                  90              9047878         8.9000000000000000E+03         4.2300000000000000E+02        -2.7581795999999729E+04                   0                18351                    0                    0               -22447                 6144
                  91              9047991         9.0000000000000000E+03         4.2300000000000000E+02        -2.7581795999999729E+04                   0                18351                    0                    0               -22447                 6144
                  92              9048106         9.1000000000000000E+03         4.2300000000000000E+02        -2.7581795999999729E+04                   0                18351                    0                    0               -22447                 6144
                  93              9048203         9.2000000000000000E+03         4.2300000000000000E+02        -2.7572795999999729E+04                   0                18345                    0                    0               -22441                 6144
                  94              9048293         9.3000000000000000E+03         4.2300000000000000E+02        -2.7595295999999729E+04                   0                18360                    0                    0               -22456                 6144
