Reaction_Descrp,Parameter,Values,Units
,T,320,K
,R,8.31446,JK^-1mol^-1
CO,P1,1.00E-08,bar
O2,P2,1.00E-08,bar
CO2,P3,1.00E-08,bar
NO,P4,1.00E-08,bar
NO2,P5,1.00E-08,bar
H2O,P6,1.00E-08,bar
H2,P7,1.00E-08,bar
r1,k1f,5.81E-02,-
,k1r,6.65E-09,-
r2,k2f,7.69E+02,-
,k2r,1.15E+05,-
r3,k3f,2.60E+05,-
,k3r,2.14E-02,-
r4,k4f,1.35E+00,-
,k4r,5.00E+02,-
r5,k5f,5.81E-02,-
,k5r,6.65E-09,-
r6,k6f,7.69E+02,-
,k6r,1.15E+05,-
r7,k7f,2.60E+05,-
,k7r,2.14E-02,-
r8,k8f,1.35E+00,-
,k8r,5.00E+02,-
r9,k9f,5.81E-02,-
,k9r,6.65E-09,-
r10,k10f,7.69E+02,-
,k10r,1.15E+05,-
r11,k11f,2.60E+05,-
,k11r,2.14E-02,-
r12,k12f,1.35E+00,-
,k12r,5.00E+02,-
r13,k13f,7.69E+02,-
,k13r,1.15E+05,-
r14,k14f,2.60E+05,-
,k14r,2.14E-02,-
r15,k15f,1.35E+00,-
,k15r,5.00E+02,-
r16,k16f,5.81E-02,-
,k16r,6.65E-09,-
r17,k17f,7.69E+02,-
,k17r,1.15E+05,-
r18,k18f,2.60E+05,-
,k18r,2.14E-02,-
const,a1f,1.00E+00,-
const,a1r,1.00E+00,-
const,a2f,1.00E+00,-
const,a2r,1.00E+00,-
const,a3f,1.00E+00,-
const,a3r,1.00E+00,-
const,a4f,1.00E+00,-
const,a4r,1.00E+00,-
const,b1f,1.00E+00,-
const,b1r,1.00E+00,-
const,b2f,1.00E+00,-
const,b2r,1.00E+00,-
const,b3f,1.00E+00,-
const,b3r,1.00E+00,-
const,b4f,1.00E+00,-
const,b4r,1.00E+00,-
const,c1f,1.00E+00,-
const,c1r,1.00E+00,-
const,c2f,1.00E+00,-
const,c2r,1.00E+00,-
const,c3f,1.00E+00,-
const,c3r,1.00E+00,-
const,c4f,1.00E+00,-
const,c4r,1.00E+00,-
