time,CO*,H2O*,H*,OH*,COOH*,CO2*,*
0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1.4340217313233754e-17,0.49999841541022466,0.4999998435642242,1.274483384657793e-10,1.274482915026183e-10,4.696316100195967e-17,7.752081804374773e-20,1.7407706544061845e-06
2.868043462646751e-17,0.4999968308253488,0.4999996869811621,4.022307844859445e-10,4.022305819743251e-10,2.0251161947407772e-16,2.4465644378239164e-19,3.481389027609099e-06
1.7208260775880505e-16,0.4999809854079531,0.49999810819090856,1.611392693432497e-08,1.611386711338598e-08,5.982093856535634e-14,9.802439656359599e-18,2.0874173284411265e-05
3.154847808911426e-16,0.4999651404815489,0.49999651465900974,4.6572134272276926e-08,4.6571893543442466e-08,2.4072883593125647e-13,2.834451688438523e-17,3.82517151727588e-05
7.45956483504192e-16,0.4999175791308712,0.4999916492861876,2.198609561686824e-07,2.1985880585181095e-07,2.1503170731755485e-12,1.346423588067525e-16,9.033186102876207e-05
1.1764281861172412e-15,0.49987002215226795,0.4999866529977043,5.24110272929255e-07,5.241030648367675e-07,7.208094670758446e-12,3.249467692192287e-16,0.00014227662948150402
1.6068998887302905e-15,0.4998224696501164,0.49998152294463355,9.621712619356566e-07,9.621541515534487e-07,1.711039300382192e-11,6.096398961965417e-16,0.00019408306272550546
2.7134619557700617e-15,0.49970025284619635,0.4999677193518848,2.7048514962589722e-06,2.704770265797475e-06,8.123062832751805e-11,2.012025086438255e-15,0.0003266180989241292
3.820024022809833e-15,0.49957806583800324,0.49995303255807916,5.331076658515751e-06,5.330857255015899e-06,2.1940438165730238e-10,5.014884229383735e-15,0.00045823945059455054
4.926586089849604e-15,0.4994559086054381,0.4999374681225421,8.835308279957352e-06,8.834847788396511e-06,4.604946586205541e-10,1.1152250112680897e-14,0.0005889526554456315
7.482828788983219e-15,0.49917382972355895,0.4998981907675076,2.0254179451940645e-05,2.025261276729443e-05,1.566711241011755e-09,5.626018538596216e-14,0.0008874711499466259
1.0039071488116833e-14,0.4988919091066896,0.4998543373629242,3.625141276820632e-05,3.6247680987474256e-05,3.731894209181521e-09,2.0032807449294368e-13,0.0011812507045359112
1.2595314187250448e-14,0.4986101463020048,0.4998059841067721,5.675106564406453e-05,5.674375491358765e-05,7.311076920282004e-09,5.641282352574304e-13,0.0014703674590242875
1.5151556886384063e-14,0.49832854086664885,0.4997532065375983,8.167784925331371e-05,8.166519926870786e-05,1.2650846298595463e-08,1.3447898639595373e-12,0.0017548968950396326
2.3361900701316132e-14,0.49742511766431047,0.49955464460850113,0.00019080826557230391,0.0001907626928977932,4.5580668720260236e-08,1.1655174271059528e-11,0.0026386211763944453
3.15722445162482e-14,0.49652329990159294,0.4993137155654347,0.0003423450983652726,0.0003422343139951386,1.1081889869408858e-07,4.901050781220666e-11,0.0034782942527026707
3.978258833118027e-14,0.4956230745711489,0.49903297038490024,0.0005337446913059891,0.0005335263517742833,2.184445577223109e-07,1.4628086447132466e-10,0.004276465410029203
4.799293214611234e-14,0.4947244294177484,0.49871504407721257,0.0007623788372608943,0.0007620013054865375,3.777907802992287e-07,3.5503187183227337e-10,0.00503576821646847
5.689098276176684e-14,0.4937522837023903,0.49833168488106616,0.001049034292101919,0.0010484160117961122,6.188657030051033e-07,7.904966501015682e-10,0.00581796145642545
6.578903337742133e-14,0.49278196676330027,0.497911513440315,0.00137257940449711,0.001371639860831057,9.407152050965741e-07,1.561444107313764e-09,0.006561358254379961
7.468708399307582e-14,0.49181346604245274,0.4974583254086301,0.0017292250023799702,0.0017278749852444495,1.3521556138640632e-06,2.818579808561194e-09,0.007269753587070174
