time,CO*,H2O*,H*,OH*,COOH*,CO2*,*
0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
5.2754711314695005e-18,0.4999984154102247,0.4999998435642243,1.274483384657806e-10,1.2744829150261956e-10,4.69631610019604e-17,7.752081804374852e-20,1.7407706544061942e-06
1.0550942262939001e-17,0.49999683082534874,0.4999996869811621,4.0223078448594855e-10,4.0223058197432907e-10,2.0251161947408085e-16,2.4465644378239414e-19,3.481389027609118e-06
6.330565357763401e-17,0.4999809854079531,0.4999981081909086,1.611392693433157e-08,1.6113867113392577e-08,5.982093856543403e-14,9.80243965629235e-18,2.087417328441944e-05
1.16060364892329e-16,0.49996514048154894,0.49999651465900974,4.6572134272299485e-08,4.6571893543465025e-08,2.4072883593157136e-13,2.8344516884077357e-17,3.825171517277748e-05
2.7442205423301663e-16,0.49991757913088836,0.49999164928618933,2.1986095608231817e-07,2.1985880576544805e-07,2.15031707185082e-12,1.3464235875726962e-16,9.033186101014514e-05
4.3278374357370425e-16,0.4998700221523021,0.49998665299770795,5.241102726613519e-07,5.2410306456887e-07,7.2080946651780175e-12,3.249467690450817e-16,0.00014227662944436473
5.911454329143919e-16,0.4998224696501675,0.4999815229446392,9.621712613902007e-07,9.621541510080073e-07,1.7110392989251486e-11,6.096398958105634e-16,0.00019408306266994823
9.982268674998432e-16,0.499700252846325,0.4999677193518998,2.7048514939554145e-06,2.7047702634940232e-06,8.123062822145184e-11,2.0120250837688463e-15,0.000326618098785096
1.4053083020852945e-15,0.4995780658382095,0.4999530325581048,5.331076653337744e-06,5.3308572498382165e-06,2.1940438133379157e-10,5.014884222236495e-15,0.0004582394503731033
1.8123897366707458e-15,0.4994559086057221,0.4999374681225793,8.83530827079878e-06,8.834847779238662e-06,4.6049465789904666e-10,1.1152250096606872e-14,0.0005889526551428161
2.7527788680579735e-15,0.49917382972512325,0.49989819076773817,2.0254179375863707e-05,2.0252612691226288e-05,1.5667112322204476e-09,5.626018494179977e-14,0.0008874711483039771
3.693167999445201e-15,0.49889190910953296,0.4998543373633893,3.6251412584054875e-05,3.624768080335125e-05,3.731894180734671e-09,2.00328072212985e-13,0.0011812507015958554
4.633557130832428e-15,0.49861014630612555,0.49980598410751187,5.6751065311709585e-05,5.6743754581297154e-05,7.311076855836303e-09,5.641282274840295e-13,0.0014703674548285708
5.5739462622196555e-15,0.4983285408720454,0.4997532065386517,8.167784873365311e-05,8.166519874916866e-05,1.2650846177182318e-08,1.3447898431881158e-12,0.0017548968896291598
8.59436289341011e-15,0.4974251176885951,0.4995546446144259,0.00019080826205355466,0.00019076268938031501,4.5580667448713486e-08,1.1655173682005373e-11,0.00263862115322339
1.1614779524600564e-14,0.4965232999447165,0.4993137155779391,0.0003423450901382755,0.00034223430577219084,1.1081889464257573e-07,4.901050480664627e-11,0.0034782942135286525
1.4635196155791018e-14,0.4956230746331618,0.4990329704055413,0.0005337446768175196,0.0005335263372948801,2.1844454864803502e-07,1.462808550004581e-10,0.004276465356340854
1.765561278698147e-14,0.4947244294988216,0.49871504410739514,0.0007623788151150203,0.0007620012833575348,3.7779076340548337e-07,3.550318484610417e-10,0.005035768149457208
2.0929022453112725e-14,0.4937522838495379,0.49833168494179403,0.0010490342459766417,0.0010484159657129474,6.188656608200925e-07,7.904965673070968e-10,0.005817961340712796
2.420243211924398e-14,0.49278196697616716,0.49791151353602625,0.001372579329936888,0.001371639786350498,9.407151252584448e-07,1.5614438985469412e-09,0.006561358094802899
2.7475841785375233e-14,0.49181346632056244,0.4974583255429437,0.0017292248957417754,0.0017278748787373378,1.352155482424765e-06,2.8185793696716063e-09,0.007269753387797394
3.0749251451506487e-14,0.4908467704224761,0.49697603913103533,0.002115058461448908,0.0021132011907819027,1.8608999556281952e-06,4.740672709320087e-09,0.007947065153515715
3.402266111763774e-14,0.4898818689301597,0.496468652775416,0.0025260864341784426,0.0025236186914121684,2.4735469974306873e-06,7.532012522969168e-09,0.008597292089804552
3.804646492056178e-14,0.4886982191556013,0.4958165061275388,0.00305992093176016,0.00305655363066994,3.376969007187795e-06,1.2491044062049506e-08,0.009365410694472248
4.2070268723485825e-14,0.4875172520731294,0.4951399372353104,0.0036183323987670035,0.0036138941254143346,4.453419031043163e-06,1.9569826640543894e-08,0.010106111178734235
4.609407252640987e-14,0.48633895532721894,0.49444612411423344,0.00419414693862209,0.004188461231888226,5.7082448535076995e-06,2.9264330457039023e-08,0.010826574879188233
5.011787632933391e-14,0.48516331889801645,0.49374183414430667,0.004780599640978295,0.004773487283054208,7.144453806462137e-06,4.2094240593463414e-08,0.011533573485989301
5.4141680132257956e-14,0.48399033490947185,0.4930332711268309,0.0053714876833022935,0.0053627687666879895,8.762908024167756e-06,5.859325706793064e-08,0.012233316012735437
5.8165483935182e-14,0.4828199974018971,0.49232595371604054,0.005961292080241964,0.005950787821200118,1.0562553156871663e-05,7.930077278061881e-08,0.01293132712689559
6.205573104001362e-14,0.48169101745766213,0.4916477696648227,0.006526016205850245,0.006513618374390333,1.2472193270394889e-05,1.0382829394229181e-07,0.01360900227589877
6.594597814484524e-14,0.48056450456492483,0.49097876646949756,0.0070817074078252966,0.007067254893140312,1.454497741169807e-05,1.33272937738822e-07,0.01429308841449445
6.983622524967686e-14,0.4794404570627919,0.49032180723907653,0.007625499848361306,0.0076088359104174805,1.677624479444883e-05,1.6810515912657079e-07,0.014986455589667989
7.372647235450848e-14,0.4783188740427634,0.4896790722786571,0.008155210038674296,0.008136182932694795,1.9160589894212392e-05,2.0878245315097965e-07,0.015691291335141067
7.76167194593401e-14,0.47719975513762564,0.48905210990857645,0.008669286166656172,0.00864774956285881,2.1692074790343042e-05,2.5574681405708667e-07,0.016409151402959087
8.150696656417173e-14,0.47608310033190737,0.48844190427728346,0.009166740412161901,0.009142553636410722,2.436442051072847e-05,3.0942253679023453e-07,0.017141027499482125
8.579903222868614e-14,0.47485396692823667,0.4877886984173704,0.009695700917266879,0.009668433913882933,2.7468477004448055e-05,3.7691425437395984e-07,0.01796535443230053
9.009109789320055e-14,0.4736278334400734,0.4871565886243811,0.010203719950183482,0.010173216139210853,3.072743323209384e-05,4.535799905396781e-07,0.0188074608332633
9.438316355771497e-14,0.47240470004730645,0.48654520686662833,0.010691160673779046,0.010657270932882814,3.413271841616707e-05,5.398974054367755e-07,0.019666988863922836
9.867522922222938e-14,0.4711845666865043,0.48595383768764183,0.011158733883316192,0.011121316237048602,3.767603383406399e-05,6.363065368827941e-07,0.020543233165451622
1.029672948867438e-13,0.46996743295665644,0.48538152525594364,0.011607391005916783,0.011566310244717961,4.134945090676072e-05,7.432074856366221e-07,0.021435247878686774
1.0725936055125821e-13,0.46875329805814936,0.48482716320032176,0.012038234293231769,0.011993361552178118,4.514547579757609e-05,8.609585675108352e-07,0.02234193646204003
1.1210171004987488e-13,0.4673870981027329,0.4842217920349767,0.012504409548914177,0.01245511133305261,4.956660785095957e-05,1.0072253716228169e-06,0.023381015147338084
1.1694405954849157e-13,0.4660247112078325,0.48363603311261305,0.012951136453720643,0.012897264066308336,5.4125530195869936e-05,1.168088985484962e-06,0.02443556154050365
1.2178640904710824e-13,0.46466613422494935,0.48306820098522496,0.013380095863544446,0.013321507756660057,5.881367304915546e-05,1.3438651360350779e-06,0.025503903631493716
