Time,CO*,O*,O2*,*,R_CO,R_O2,R_CO2
0.0,0.0,0.0,0.0,1.0,-2e-06,-4.62e-06,-5e-10
1.760412473826229e-07,3.521705153883512e-13,1.6087426601535679e-12,8.832349761699639e-15,0.9999999999980302,-1.999999999996058e-06,-4.618984279768305e-06,-4.999999999980302e-10
3.520824947652458e-07,7.043410307760221e-13,3.2376822279098906e-12,7.564351230749721e-15,0.9999999999960504,-1.999999999992096e-06,-4.619130099590217e-06,-4.999999999960503e-10
2.1124949685914747e-06,4.2260461845928176e-12,1.9501785078069164e-11,7.533151976905074e-15,0.9999999999762647,-1.9999999999525013e-06,-4.619133687412999e-06,-4.999999999762647e-10
3.872907442417704e-06,7.74775133834141e-12,3.576582127904769e-11,7.535283407769944e-15,0.9999999999564789,-1.9999999999129063e-06,-4.619133442207039e-06,-4.999999999564789e-10
2.1477032180679994e-05,4.296480286983575e-11,1.984062258656994e-10,7.535291459918166e-15,0.9999999997586215,-1.999999999516957e-06,-4.619133440366941e-06,-4.999999997586215e-10
3.9081156918942284e-05,7.818185439450963e-11,3.610466304377012e-10,7.535291095648879e-15,0.9999999995607639,-1.9999999991210076e-06,-4.61913343949473e-06,-4.999999995607637e-10
0.00021512240430156517,4.303523690420924e-10,1.987450673385054e-09,7.535291095461966e-15,0.9999999975821894,-1.999999995161517e-06,-4.619133430353738e-06,-4.999999975821869e-10
0.0003911636516841881,7.82522883007628e-10,3.613854713184444e-09,7.535291095465728e-15,0.9999999956036149,-1.999999991202026e-06,-4.619133421212722e-06,-4.999999956036067e-10
0.0021515761255104173,4.304227962747378e-09,1.9877894834640237e-08,7.535291095451099e-15,0.9999999758178697,-1.999999951607116e-06,-4.619133329802581e-06,-4.999999758176262e-10
0.003911988599336646,7.82593297428241e-09,3.6141934641299834e-08,7.535291095454938e-15,0.9999999560321249,-1.999999912012207e-06,-4.6191332383924406e-06,-4.999999560313197e-10
0.02151611333759894,4.304297709807305e-08,1.98782305054085e-07,7.535291096508897e-15,0.9999997581747103,-1.9999995160631847e-06,-4.619132324291063e-06,-4.999997581503545e-10
0.03912023807586123,7.826001440139343e-08,3.614226439872502e-07,7.535291099409401e-15,0.9999995603173341,-1.999999120114239e-06,-4.619131410189652e-06,-4.999995602368186e-10
0.21516148545848413,4.304297882794305e-07,1.987823267938551e-06,7.535291229973962e-15,0.9999975817469362,-1.999995160631514e-06,-4.619122269179398e-06,-4.999975793113478e-10
