               Entry              Nevents                           Time                    Temperature                         Energy                  O*                  CO*                  O2*                   O2                   CO                  CO2
                   1                    0         0.0000000000000000E+00         4.2500000000000000E+02        -5.5295999999999999E+01                   0                    0                    0                    0                    0                    0
                   2               570337         1.0000000000000001E-01         4.2500000000000000E+02        -4.6745962000002664E+03                   0                 3224                    0                    0                -3224                    0
                   3               572098         2.0000000000000001E-01         4.2500000000000000E+02        -4.6694638000002869E+03                   0                 3217                    0                    0                -3217                    0
                   4               573881         3.0000000000000004E-01         4.2500000000000000E+02        -4.6717780000002804E+03                   0                 3219                    0                    0                -3219                    0
                   5               575684         4.0000000000000002E-01         4.2500000000000000E+02        -4.6782870000003131E+03                   0                 3225                    0                    0                -3225                    0
                   6               576338         5.0000000000000000E-01         4.2500000000000000E+02        -4.6755341000003018E+03                   0                 3224                    0                    0                -3224                    0
                   7               576699         5.9999999999999998E-01         4.2500000000000000E+02        -4.6762320000003147E+03                   0                 3224                    0                    0                -3224                    0
                   8               577070         6.9999999999999996E-01         4.2500000000000000E+02        -4.6812500000003201E+03                   0                 3231                    0                    0                -3231                    0
                   9               577452         7.9999999999999993E-01         4.2500000000000000E+02        -4.6798580000003631E+03                   0                 3228                    0                    0                -3228                    0
                  10               577819         8.9999999999999991E-01         4.2500000000000000E+02        -4.6767570000003361E+03                   0                 3224                    0                    0                -3224                    0
                  11               578195         9.9999999999999989E-01         4.2500000000000000E+02        -4.6758195000003725E+03                   0                 3226                    0                    0                -3226                    0
                  12               578580         1.0999999999999999E+00         4.2500000000000000E+02        -4.6802114000003839E+03                   0                 3229                    0                    0                -3229                    0
                  13               578914         1.2000000000000000E+00         4.2500000000000000E+02        -4.6743455000003723E+03                   0                 3222                    0                    0                -3222                    0
                  14               579255         1.3000000000000000E+00         4.2500000000000000E+02        -4.6723837000003623E+03                   0                 3221                    0                    0                -3221                    0
                  15               579674         1.4000000000000001E+00         4.2500000000000000E+02        -4.6716814000003878E+03                   0                 3218                    0                    0                -3218                    0
                  16               580052         1.5000000000000002E+00         4.2500000000000000E+02        -4.6756521000003922E+03                   0                 3222                    0                    0                -3222                    0
                  17               580400         1.6000000000000003E+00         4.2500000000000000E+02        -4.6793374000003769E+03                   0                 3228                    0                    0                -3228                    0
                  18               580738         1.7000000000000004E+00         4.2500000000000000E+02        -4.6775934000003645E+03                   0                 3226                    0                    0                -3226                    0
                  19               581118         1.8000000000000005E+00         4.2500000000000000E+02        -4.6765579000003427E+03                   0                 3224                    0                    0                -3224                    0
                  20               581468         1.9000000000000006E+00         4.2500000000000000E+02        -4.6808301000003485E+03                   0                 3231                    0                    0                -3231                    0
                  21               581776         2.0000000000000004E+00         4.2500000000000000E+02        -4.6790135000003529E+03                   0                 3229                    0                    0                -3229                    0
                  22               582022         2.1000000000000005E+00         4.2500000000000000E+02        -4.6802116000003698E+03                   0                 3229                    0                    0                -3229                    0
                  23               582081         2.2000000000000006E+00         4.2500000000000000E+02        -4.6787816000003586E+03                   0                 3226                    0                    0                -3226                    0
                  24               582168         2.3000000000000007E+00         4.2500000000000000E+02        -4.6793017000003310E+03                   0                 3228                    0                    0                -3228                    0
                  25               582245         2.4000000000000008E+00         4.2500000000000000E+02        -4.6798454000003539E+03                   0                 3228                    0                    0                -3228                    0
                  26               582301         2.5000000000000009E+00         4.2500000000000000E+02        -4.6773110000003326E+03                   0                 3226                    0                    0                -3226                    0
                  27               582379         2.6000000000000010E+00         4.2500000000000000E+02        -4.6758098000003029E+03                   0                 3225                    0                    0                -3225                    0
                  28               582466         2.7000000000000011E+00         4.2500000000000000E+02        -4.6746803000003165E+03                   0                 3223                    0                    0                -3223                    0
                  29               582529         2.8000000000000012E+00         4.2500000000000000E+02        -4.6752578000003068E+03                   0                 3223                    0                    0                -3223                    0
                  30               582597         2.9000000000000012E+00         4.2500000000000000E+02        -4.6760871000002908E+03                   0                 3226                    0                    0                -3226                    0
                  31               582694         3.0000000000000013E+00         4.2500000000000000E+02        -4.6756495000002969E+03                   0                 3225                    0                    0                -3225                    0
                  32               582762         3.1000000000000014E+00         4.2500000000000000E+02        -4.6772386000002707E+03                   0                 3227                    0                    0                -3227                    0
                  33               582861         3.2000000000000015E+00         4.2500000000000000E+02        -4.6784642000002623E+03                   0                 3227                    0                    0                -3227                    0
                  34               582951         3.3000000000000016E+00         4.2500000000000000E+02        -4.6760556000002907E+03                   0                 3225                    0                    0                -3225                    0
                  35               583044         3.4000000000000017E+00         4.2500000000000000E+02        -4.6767207000002700E+03                   0                 3226                    0                    0                -3226                    0
                  36               583118         3.5000000000000018E+00         4.2500000000000000E+02        -4.6785090000002820E+03                   0                 3228                    0                    0                -3228                    0
                  37               583192         3.6000000000000019E+00         4.2500000000000000E+02        -4.6764365000002736E+03                   0                 3225                    0                    0                -3225                    0
                  38               583250         3.7000000000000020E+00         4.2500000000000000E+02        -4.6760705000002772E+03                   0                 3225                    0                    0                -3225                    0
                  39               583328         3.8000000000000020E+00         4.2500000000000000E+02        -4.6787976000002736E+03                   0                 3229                    0                    0                -3229                    0
                  40               583403         3.9000000000000021E+00         4.2500000000000000E+02        -4.6758274000002812E+03                   0                 3225                    0                    0                -3225                    0
                  41               583482         4.0000000000000018E+00         4.2500000000000000E+02        -4.6773600000002752E+03                   0                 3227                    0                    0                -3227                    0
                  42               583541         4.1000000000000014E+00         4.2500000000000000E+02        -4.6762261000002791E+03                   0                 3225                    0                    0                -3225                    0
                  43               583610         4.2000000000000011E+00         4.2500000000000000E+02        -4.6751389000002982E+03                   0                 3224                    0                    0                -3224                    0
                  44               583672         4.3000000000000007E+00         4.2500000000000000E+02        -4.6751917000002977E+03                   0                 3224                    0                    0                -3224                    0
                  45               583745         4.4000000000000004E+00         4.2500000000000000E+02        -4.6758414000002958E+03                   0                 3225                    0                    0                -3225                    0
                  46               583811         4.5000000000000000E+00         4.2500000000000000E+02        -4.6788452000003235E+03                   0                 3227                    0                    0                -3227                    0
                  47               583881         4.5999999999999996E+00         4.2500000000000000E+02        -4.6782763000003306E+03                   0                 3225                    0                    0                -3225                    0
                  48               583969         4.6999999999999993E+00         4.2500000000000000E+02        -4.6793759000003120E+03                   0                 3228                    0                    0                -3228                    0
                  49               584049         4.7999999999999989E+00         4.2500000000000000E+02        -4.6769148000003033E+03                   0                 3224                    0                    0                -3224                    0
                  50               584128         4.8999999999999986E+00         4.2500000000000000E+02        -4.6754203000003045E+03                   0                 3224                    0                    0                -3224                    0
                  51               584221         4.9999999999999982E+00         4.2500000000000000E+02        -4.6769603000003008E+03                   0                 3225                    0                    0                -3225                    0
                  52               584293         5.0999999999999979E+00         4.2500000000000000E+02        -4.6761042000003063E+03                   0                 3223                    0                    0                -3223                    0
                  53               584355         5.1999999999999975E+00         4.2500000000000000E+02        -4.6748792000003068E+03                   0                 3222                    0                    0                -3222                    0
                  54               584419         5.2999999999999972E+00         4.2500000000000000E+02        -4.6760990000003158E+03                   0                 3224                    0                    0                -3224                    0
                  55               584484         5.3999999999999968E+00         4.2500000000000000E+02        -4.6762632000003241E+03                   0                 3224                    0                    0                -3224                    0
                  56               584567         5.4999999999999964E+00         4.2500000000000000E+02        -4.6747394000003187E+03                   0                 3223                    0                    0                -3223                    0
                  57               584623         5.5999999999999961E+00         4.2500000000000000E+02        -4.6749991000003156E+03                   0                 3224                    0                    0                -3224                    0
                  58               584703         5.6999999999999957E+00         4.2500000000000000E+02        -4.6762582000003131E+03                   0                 3225                    0                    0                -3225                    0
                  59               584786         5.7999999999999954E+00         4.2500000000000000E+02        -4.6791263000003237E+03                   0                 3227                    0                    0                -3227                    0
                  60               584851         5.8999999999999950E+00         4.2500000000000000E+02        -4.6813964000003189E+03                   0                 3230                    0                    0                -3230                    0
                  61               584914         5.9999999999999947E+00         4.2500000000000000E+02        -4.6832283000003263E+03                   0                 3233                    0                    0                -3233                    0
                  62               584988         6.0999999999999943E+00         4.2500000000000000E+02        -4.6783056000003216E+03                   0                 3227                    0                    0                -3227                    0
                  63               585052         6.1999999999999940E+00         4.2500000000000000E+02        -4.6789320000003281E+03                   0                 3227                    0                    0                -3227                    0
                  64               585120         6.2999999999999936E+00         4.2500000000000000E+02        -4.6807755000003144E+03                   0                 3228                    0                    0                -3228                    0
                  65               585209         6.3999999999999932E+00         4.2500000000000000E+02        -4.6801642000003276E+03                   0                 3228                    0                    0                -3228                    0
                  66               585274         6.4999999999999929E+00         4.2500000000000000E+02        -4.6808543000003128E+03                   0                 3229                    0                    0                -3229                    0
                  67               585350         6.5999999999999925E+00         4.2500000000000000E+02        -4.6774780000003166E+03                   0                 3226                    0                    0                -3226                    0
                  68               585407         6.6999999999999922E+00         4.2500000000000000E+02        -4.6764920000003258E+03                   0                 3225                    0                    0                -3225                    0
                  69               585480         6.7999999999999918E+00         4.2500000000000000E+02        -4.6774049000003324E+03                   0                 3226                    0                    0                -3226                    0
                  70               585549         6.8999999999999915E+00         4.2500000000000000E+02        -4.6758123000003370E+03                   0                 3225                    0                    0                -3225                    0
                  71               585621         6.9999999999999911E+00         4.2500000000000000E+02        -4.6748331000003318E+03                   0                 3224                    0                    0                -3224                    0
                  72               585703         7.0999999999999908E+00         4.2500000000000000E+02        -4.6713333000003286E+03                   0                 3220                    0                    0                -3220                    0
                  73               585779         7.1999999999999904E+00         4.2500000000000000E+02        -4.6721996000003410E+03                   0                 3220                    0                    0                -3220                    0
                  74               585841         7.2999999999999901E+00         4.2500000000000000E+02        -4.6721938000003520E+03                   0                 3221                    0                    0                -3221                    0
                  75               585917         7.3999999999999897E+00         4.2500000000000000E+02        -4.6735199000003677E+03                   0                 3222                    0                    0                -3222                    0
                  76               586002         7.4999999999999893E+00         4.2500000000000000E+02        -4.6687893000003669E+03                   0                 3217                    0                    0                -3217                    0
                  77               586079         7.5999999999999890E+00         4.2500000000000000E+02        -4.6708050000003586E+03                   0                 3219                    0                    0                -3219                    0
                  78               586141         7.6999999999999886E+00         4.2500000000000000E+02        -4.6689804000003414E+03                   0                 3218                    0                    0                -3218                    0
                  79               586216         7.7999999999999883E+00         4.2500000000000000E+02        -4.6703797000003533E+03                   0                 3219                    0                    0                -3219                    0
                  80               586295         7.8999999999999879E+00         4.2500000000000000E+02        -4.6693104000003459E+03                   0                 3216                    0                    0                -3216                    0
                  81               586358         7.9999999999999876E+00         4.2500000000000000E+02        -4.6692310000003508E+03                   0                 3216                    0                    0                -3216                    0
                  82               586438         8.0999999999999872E+00         4.2500000000000000E+02        -4.6694471000003314E+03                   0                 3217                    0                    0                -3217                    0
                  83               586503         8.1999999999999869E+00         4.2500000000000000E+02        -4.6699411000003265E+03                   0                 3218                    0                    0                -3218                    0
                  84               586576         8.2999999999999865E+00         4.2500000000000000E+02        -4.6695490000003219E+03                   0                 3217                    0                    0                -3217                    0
                  85               586661         8.3999999999999861E+00         4.2500000000000000E+02        -4.6712476000003453E+03                   0                 3219                    0                    0                -3219                    0
                  86               586751         8.4999999999999858E+00         4.2500000000000000E+02        -4.6698697000003440E+03                   0                 3217                    0                    0                -3217                    0
                  87               586826         8.5999999999999854E+00         4.2500000000000000E+02        -4.6687364000003427E+03                   0                 3215                    0                    0                -3215                    0
                  88               586905         8.6999999999999851E+00         4.2500000000000000E+02        -4.6722867000003398E+03                   0                 3219                    0                    0                -3219                    0
                  89               586975         8.7999999999999847E+00         4.2500000000000000E+02        -4.6717901000003467E+03                   0                 3219                    0                    0                -3219                    0
                  90               587050         8.8999999999999844E+00         4.2500000000000000E+02        -4.6714425000003539E+03                   0                 3219                    0                    0                -3219                    0
                  91               587104         8.9999999999999840E+00         4.2500000000000000E+02        -4.6678542000003526E+03                   0                 3216                    0                    0                -3216                    0
                  92               587182         9.0999999999999837E+00         4.2500000000000000E+02        -4.6684448000003613E+03                   0                 3215                    0                    0                -3215                    0
                  93               587246         9.1999999999999833E+00         4.2500000000000000E+02        -4.6680876000003664E+03                   0                 3214                    0                    0                -3214                    0
                  94               587331         9.2999999999999829E+00         4.2500000000000000E+02        -4.6690513000003566E+03                   0                 3216                    0                    0                -3216                    0
                  95               587417         9.3999999999999826E+00         4.2500000000000000E+02        -4.6695316000003450E+03                   0                 3216                    0                    0                -3216                    0
                  96               587516         9.4999999999999822E+00         4.2500000000000000E+02        -4.6707615000003434E+03                   0                 3219                    0                    0                -3219                    0
                  97               587592         9.5999999999999819E+00         4.2500000000000000E+02        -4.6712091000003520E+03                   0                 3218                    0                    0                -3218                    0
                  98               587662         9.6999999999999815E+00         4.2500000000000000E+02        -4.6700865000003614E+03                   0                 3217                    0                    0                -3217                    0
                  99               587712         9.7999999999999812E+00         4.2500000000000000E+02        -4.6720044000003545E+03                   0                 3218                    0                    0                -3218                    0
                 100               587775         9.8999999999999808E+00         4.2500000000000000E+02        -4.6709181000003537E+03                   0                 3217                    0                    0                -3217                    0
                 101               587836         9.9999999999999805E+00         4.2500000000000000E+02        -4.6730938000003453E+03                   0                 3218                    0                    0                -3218                    0
                 102               587911         1.0099999999999980E+01         4.2500000000000000E+02        -4.6722451000003402E+03                   0                 3217                    0                    0                -3217                    0
                 103               587980         1.0199999999999980E+01         4.2500000000000000E+02        -4.6717660000003589E+03                   0                 3217                    0                    0                -3217                    0
                 104               588010         1.0299999999999979E+01         4.2500000000000000E+02        -4.6726965000003711E+03                   0                 3218                    0                    0                -3218                    0
                 105               588021         1.0399999999999979E+01         4.2500000000000000E+02        -4.6734510000003684E+03                   0                 3219                    0                    0                -3219                    0
                 106               588039         1.0499999999999979E+01         4.2500000000000000E+02        -4.6730690000003688E+03                   0                 3219                    0                    0                -3219                    0
                 107               588056         1.0599999999999978E+01         4.2500000000000000E+02        -4.6731346000003578E+03                   0                 3220                    0                    0                -3220                    0
                 108               588074         1.0699999999999978E+01         4.2500000000000000E+02        -4.6750013000003555E+03                   0                 3222                    0                    0                -3222                    0
                 109               588087         1.0799999999999978E+01         4.2500000000000000E+02        -4.6753385000003509E+03                   0                 3222                    0                    0                -3222                    0
                 110               588101         1.0899999999999977E+01         4.2500000000000000E+02        -4.6746360000003415E+03                   0                 3221                    0                    0                -3221                    0
                 111               588113         1.0999999999999977E+01         4.2500000000000000E+02        -4.6760865000003332E+03                   0                 3222                    0                    0                -3222                    0
                 112               588127         1.1099999999999977E+01         4.2500000000000000E+02        -4.6767103000003390E+03                   0                 3223                    0                    0                -3223                    0
                 113               588140         1.1199999999999976E+01         4.2500000000000000E+02        -4.6759709000003322E+03                   0                 3222                    0                    0                -3222                    0
                 114               588150         1.1299999999999976E+01         4.2500000000000000E+02        -4.6752782000003344E+03                   0                 3221                    0                    0                -3221                    0
                 115               588168         1.1399999999999975E+01         4.2500000000000000E+02        -4.6749936000003381E+03                   0                 3221                    0                    0                -3221                    0
                 116               588182         1.1499999999999975E+01         4.2500000000000000E+02        -4.6755314000003436E+03                   0                 3222                    0                    0                -3222                    0
                 117               588197         1.1599999999999975E+01         4.2500000000000000E+02        -4.6742673000003469E+03                   0                 3220                    0                    0                -3220                    0
                 118               588212         1.1699999999999974E+01         4.2500000000000000E+02        -4.6740218000003470E+03                   0                 3220                    0                    0                -3220                    0
                 119               588224         1.1799999999999974E+01         4.2500000000000000E+02        -4.6735035000003527E+03                   0                 3220                    0                    0                -3220                    0
                 120               588240         1.1899999999999974E+01         4.2500000000000000E+02        -4.6730684000003484E+03                   0                 3220                    0                    0                -3220                    0
                 121               588252         1.1999999999999973E+01         4.2500000000000000E+02        -4.6744594000003563E+03                   0                 3222                    0                    0                -3222                    0
                 122               588266         1.2099999999999973E+01         4.2500000000000000E+02        -4.6750485000003519E+03                   0                 3223                    0                    0                -3223                    0
                 123               588281         1.2199999999999973E+01         4.2500000000000000E+02        -4.6735322000003553E+03                   0                 3221                    0                    0                -3221                    0
                 124               588298         1.2299999999999972E+01         4.2500000000000000E+02        -4.6737329000003592E+03                   0                 3221                    0                    0                -3221                    0
                 125               588309         1.2399999999999972E+01         4.2500000000000000E+02        -4.6731953000003687E+03                   0                 3220                    0                    0                -3220                    0
                 126               588321         1.2499999999999972E+01         4.2500000000000000E+02        -4.6729359000003715E+03                   0                 3220                    0                    0                -3220                    0
                 127               588332         1.2599999999999971E+01         4.2500000000000000E+02        -4.6720984000003727E+03                   0                 3219                    0                    0                -3219                    0
                 128               588347         1.2699999999999971E+01         4.2500000000000000E+02        -4.6727838000003785E+03                   0                 3220                    0                    0                -3220                    0
                 129               588352         1.2799999999999971E+01         4.2500000000000000E+02        -4.6730279000003802E+03                   0                 3220                    0                    0                -3220                    0
                 130               588369         1.2899999999999970E+01         4.2500000000000000E+02        -4.6732569000003768E+03                   0                 3220                    0                    0                -3220                    0
                 131               588384         1.2999999999999970E+01         4.2500000000000000E+02        -4.6744779000003609E+03                   0                 3222                    0                    0                -3222                    0
                 132               588408         1.3099999999999969E+01         4.2500000000000000E+02        -4.6763858000003620E+03                   0                 3225                    0                    0                -3225                    0
                 133               588421         1.3199999999999969E+01         4.2500000000000000E+02        -4.6742854000003681E+03                   0                 3222                    0                    0                -3222                    0
                 134               588434         1.3299999999999969E+01         4.2500000000000000E+02        -4.6752190000003739E+03                   0                 3223                    0                    0                -3223                    0
                 135               588449         1.3399999999999968E+01         4.2500000000000000E+02        -4.6746917000003705E+03                   0                 3222                    0                    0                -3222                    0
                 136               588460         1.3499999999999968E+01         4.2500000000000000E+02        -4.6734118000003755E+03                   0                 3220                    0                    0                -3220                    0
                 137               588472         1.3599999999999968E+01         4.2500000000000000E+02        -4.6738807000003799E+03                   0                 3220                    0                    0                -3220                    0
                 138               588483         1.3699999999999967E+01         4.2500000000000000E+02        -4.6731346000003859E+03                   0                 3219                    0                    0                -3219                    0
                 139               588494         1.3799999999999967E+01         4.2500000000000000E+02        -4.6740629000003910E+03                   0                 3220                    0                    0                -3220                    0
                 140               588515         1.3899999999999967E+01         4.2500000000000000E+02        -4.6741263000003964E+03                   0                 3220                    0                    0                -3220                    0
                 141               588528         1.3999999999999966E+01         4.2500000000000000E+02        -4.6746291000003912E+03                   0                 3221                    0                    0                -3221                    0
                 142               588539         1.4099999999999966E+01         4.2500000000000000E+02        -4.6735331000003926E+03                   0                 3220                    0                    0                -3220                    0
                 143               588556         1.4199999999999966E+01         4.2500000000000000E+02        -4.6754334000003855E+03                   0                 3223                    0                    0                -3223                    0
                 144               588563         1.4299999999999965E+01         4.2500000000000000E+02        -4.6766742000003887E+03                   0                 3225                    0                    0                -3225                    0
                 145               588575         1.4399999999999965E+01         4.2500000000000000E+02        -4.6745192000003999E+03                   0                 3222                    0                    0                -3222                    0
                 146               588589         1.4499999999999964E+01         4.2500000000000000E+02        -4.6756859000004069E+03                   0                 3223                    0                    0                -3223                    0
                 147               588604         1.4599999999999964E+01         4.2500000000000000E+02        -4.6754679000003971E+03                   0                 3223                    0                    0                -3223                    0
                 148               588614         1.4699999999999964E+01         4.2500000000000000E+02        -4.6758139000003957E+03                   0                 3224                    0                    0                -3224                    0
                 149               588630         1.4799999999999963E+01         4.2500000000000000E+02        -4.6746633000003894E+03                   0                 3222                    0                    0                -3222                    0
                 150               588644         1.4899999999999963E+01         4.2500000000000000E+02        -4.6759852000003830E+03                   0                 3224                    0                    0                -3224                    0
                 151               588664         1.4999999999999963E+01         4.2500000000000000E+02        -4.6754840000003851E+03                   0                 3223                    0                    0                -3223                    0
                 152               588683         1.5099999999999962E+01         4.2500000000000000E+02        -4.6745628000003726E+03                   0                 3223                    0                    0                -3223                    0
                 153               588698         1.5199999999999962E+01         4.2500000000000000E+02        -4.6742959000003730E+03                   0                 3222                    0                    0                -3222                    0
                 154               588712         1.5299999999999962E+01         4.2500000000000000E+02        -4.6744134000003705E+03                   0                 3222                    0                    0                -3222                    0
                 155               588724         1.5399999999999961E+01         4.2500000000000000E+02        -4.6750434000003797E+03                   0                 3222                    0                    0                -3222                    0
                 156               588742         1.5499999999999961E+01         4.2500000000000000E+02        -4.6750447000003951E+03                   0                 3221                    0                    0                -3221                    0
                 157               588754         1.5599999999999961E+01         4.2500000000000000E+02        -4.6764301000003888E+03                   0                 3223                    0                    0                -3223                    0
                 158               588769         1.5699999999999960E+01         4.2500000000000000E+02        -4.6759593000003933E+03                   0                 3223                    0                    0                -3223                    0
                 159               588783         1.5799999999999960E+01         4.2500000000000000E+02        -4.6762778000003791E+03                   0                 3224                    0                    0                -3224                    0
                 160               588793         1.5899999999999959E+01         4.2500000000000000E+02        -4.6751473000003780E+03                   0                 3222                    0                    0                -3222                    0
                 161               588803         1.5999999999999959E+01         4.2500000000000000E+02        -4.6752121000003790E+03                   0                 3222                    0                    0                -3222                    0
                 162               588821         1.6099999999999959E+01         4.2500000000000000E+02        -4.6751316000003853E+03                   0                 3222                    0                    0                -3222                    0
                 163               588836         1.6199999999999960E+01         4.2500000000000000E+02        -4.6751510000003800E+03                   0                 3223                    0                    0                -3223                    0
                 164               588863         1.6299999999999962E+01         4.2500000000000000E+02        -4.6747894000003880E+03                   0                 3222                    0                    0                -3222                    0
                 165               588881         1.6399999999999963E+01         4.2500000000000000E+02        -4.6754788000003891E+03                   0                 3223                    0                    0                -3223                    0
                 166               588895         1.6499999999999964E+01         4.2500000000000000E+02        -4.6737503000003890E+03                   0                 3221                    0                    0                -3221                    0
                 167               588913         1.6599999999999966E+01         4.2500000000000000E+02        -4.6736419000003907E+03                   0                 3221                    0                    0                -3221                    0
                 168               588931         1.6699999999999967E+01         4.2500000000000000E+02        -4.6730562000003929E+03                   0                 3220                    0                    0                -3220                    0
                 169               588939         1.6799999999999969E+01         4.2500000000000000E+02        -4.6737897000003941E+03                   0                 3221                    0                    0                -3221                    0
                 170               588947         1.6899999999999970E+01         4.2500000000000000E+02        -4.6740478000003977E+03                   0                 3221                    0                    0                -3221                    0
                 171               588968         1.6999999999999972E+01         4.2500000000000000E+02        -4.6762521000003944E+03                   0                 3224                    0                    0                -3224                    0
                 172               588977         1.7099999999999973E+01         4.2500000000000000E+02        -4.6764448000003968E+03                   0                 3225                    0                    0                -3225                    0
                 173               588990         1.7199999999999974E+01         4.2500000000000000E+02        -4.6764458000003997E+03                   0                 3225                    0                    0                -3225                    0
