               Entry              Nevents                           Time                    Temperature                         Energy                  O*                  CO*                  O2*                   O2                   CO                  CO2
                   1                    0         0.0000000000000000E+00         4.2500000000000000E+02        -5.5295999999999999E+01                   0                    0                    0                    0                    0                    0
                   2               564481         1.0000000000000001E-01         4.2500000000000000E+02        -4.5864275000004909E+03                   0                 3138                    0                    0                -3138                    0
                   3               566335         2.0000000000000001E-01         4.2500000000000000E+02        -4.5939562000005044E+03                   0                 3144                    0                    0                -3144                    0
                   4               568302         3.0000000000000004E-01         4.2500000000000000E+02        -4.5921642000004849E+03                   0                 3141                    0                    0                -3141                    0
                   5               570065         4.0000000000000002E-01         4.2500000000000000E+02        -4.5946791000004459E+03                   0                 3145                    0                    0                -3145                    0
                   6               570457         5.0000000000000000E-01         4.2500000000000000E+02        -4.5910941000004741E+03                   0                 3141                    0                    0                -3141                    0
                   7               570845         5.9999999999999998E-01         4.2500000000000000E+02        -4.5925486000004466E+03                   0                 3142                    0                    0                -3142                    0
                   8               571286         6.9999999999999996E-01         4.2500000000000000E+02        -4.5928106000004336E+03                   0                 3144                    0                    0                -3144                    0
                   9               571713         7.9999999999999993E-01         4.2500000000000000E+02        -4.5957103000004336E+03                   0                 3145                    0                    0                -3145                    0
                  10               572102         8.9999999999999991E-01         4.2500000000000000E+02        -4.5974979000004250E+03                   0                 3146                    0                    0                -3146                    0
                  11               572526         9.9999999999999989E-01         4.2500000000000000E+02        -4.5989282000004432E+03                   0                 3148                    0                    0                -3148                    0
                  12               572931         1.0999999999999999E+00         4.2500000000000000E+02        -4.5962897000004587E+03                   0                 3145                    0                    0                -3145                    0
                  13               573340         1.2000000000000000E+00         4.2500000000000000E+02        -4.6028705000004675E+03                   0                 3152                    0                    0                -3152                    0
                  14               573699         1.3000000000000000E+00         4.2500000000000000E+02        -4.5997262000004803E+03                   0                 3150                    0                    0                -3150                    0
                  15               574119         1.4000000000000001E+00         4.2500000000000000E+02        -4.5974454000004962E+03                   0                 3146                    0                    0                -3146                    0
                  16               574466         1.5000000000000002E+00         4.2500000000000000E+02        -4.5975922000004721E+03                   0                 3146                    0                    0                -3146                    0
                  17               574805         1.6000000000000003E+00         4.2500000000000000E+02        -4.6002583000004770E+03                   0                 3148                    0                    0                -3148                    0
                  18               575193         1.7000000000000004E+00         4.2500000000000000E+02        -4.5979603000004818E+03                   0                 3146                    0                    0                -3146                    0
                  19               575519         1.8000000000000005E+00         4.2500000000000000E+02        -4.5971513000004652E+03                   0                 3146                    0                    0                -3146                    0
                  20               575931         1.9000000000000006E+00         4.2500000000000000E+02        -4.6074250000004695E+03                   0                 3155                    0                    0                -3155                    0
                  21               576044         2.0000000000000004E+00         4.2500000000000000E+02        -4.6055997000004809E+03                   0                 3154                    0                    0                -3154                    0
                  22               576124         2.1000000000000005E+00         4.2500000000000000E+02        -4.6053362000004900E+03                   0                 3154                    0                    0                -3154                    0
                  23               576215         2.2000000000000006E+00         4.2500000000000000E+02        -4.6020809000004883E+03                   0                 3151                    0                    0                -3151                    0
                  24               576283         2.3000000000000007E+00         4.2500000000000000E+02        -4.6035493000004835E+03                   0                 3153                    0                    0                -3153                    0
                  25               576365         2.4000000000000008E+00         4.2500000000000000E+02        -4.6010803000004753E+03                   0                 3151                    0                    0                -3151                    0
                  26               576436         2.5000000000000009E+00         4.2500000000000000E+02        -4.6019815000004774E+03                   0                 3151                    0                    0                -3151                    0
                  27               576504         2.6000000000000010E+00         4.2500000000000000E+02        -4.6009023000004863E+03                   0                 3151                    0                    0                -3151                    0
                  28               576572         2.7000000000000011E+00         4.2500000000000000E+02        -4.6009508000004771E+03                   0                 3149                    0                    0                -3149                    0
                  29               576658         2.8000000000000012E+00         4.2500000000000000E+02        -4.6012777000004662E+03                   0                 3150                    0                    0                -3150                    0
                  30               576728         2.9000000000000012E+00         4.2500000000000000E+02        -4.5984194000004718E+03                   0                 3147                    0                    0                -3147                    0
                  31               576815         3.0000000000000013E+00         4.2500000000000000E+02        -4.6005730000004687E+03                   0                 3149                    0                    0                -3149                    0
                  32               576897         3.1000000000000014E+00         4.2500000000000000E+02        -4.6052504000004838E+03                   0                 3154                    0                    0                -3154                    0
                  33               576976         3.2000000000000015E+00         4.2500000000000000E+02        -4.6060172000004859E+03                   0                 3156                    0                    0                -3156                    0
                  34               577046         3.3000000000000016E+00         4.2500000000000000E+02        -4.6045166000004965E+03                   0                 3153                    0                    0                -3153                    0
                  35               577111         3.4000000000000017E+00         4.2500000000000000E+02        -4.6018388000004843E+03                   0                 3151                    0                    0                -3151                    0
                  36               577176         3.5000000000000018E+00         4.2500000000000000E+02        -4.6022961000004771E+03                   0                 3152                    0                    0                -3152                    0
                  37               577258         3.6000000000000019E+00         4.2500000000000000E+02        -4.6003367000004737E+03                   0                 3150                    0                    0                -3150                    0
                  38               577334         3.7000000000000020E+00         4.2500000000000000E+02        -4.6001252000004479E+03                   0                 3151                    0                    0                -3151                    0
                  39               577415         3.8000000000000020E+00         4.2500000000000000E+02        -4.5963155000004535E+03                   0                 3147                    0                    0                -3147                    0
                  40               577501         3.9000000000000021E+00         4.2500000000000000E+02        -4.5970325000004423E+03                   0                 3147                    0                    0                -3147                    0
                  41               577562         4.0000000000000018E+00         4.2500000000000000E+02        -4.5978140000004496E+03                   0                 3147                    0                    0                -3147                    0
                  42               577640         4.1000000000000014E+00         4.2500000000000000E+02        -4.5984631000004274E+03                   0                 3148                    0                    0                -3148                    0
                  43               577718         4.2000000000000011E+00         4.2500000000000000E+02        -4.5980710000004065E+03                   0                 3148                    0                    0                -3148                    0
                  44               577792         4.3000000000000007E+00         4.2500000000000000E+02        -4.5959587000004112E+03                   0                 3145                    0                    0                -3145                    0
                  45               577871         4.4000000000000004E+00         4.2500000000000000E+02        -4.5954014000004245E+03                   0                 3144                    0                    0                -3144                    0
                  46               577945         4.5000000000000000E+00         4.2500000000000000E+02        -4.5945770000004177E+03                   0                 3144                    0                    0                -3144                    0
                  47               578025         4.5999999999999996E+00         4.2500000000000000E+02        -4.5935525000004236E+03                   0                 3142                    0                    0                -3142                    0
                  48               578099         4.6999999999999993E+00         4.2500000000000000E+02        -4.5917038000004432E+03                   0                 3141                    0                    0                -3141                    0
                  49               578184         4.7999999999999989E+00         4.2500000000000000E+02        -4.5922994000004410E+03                   0                 3142                    0                    0                -3142                    0
                  50               578261         4.8999999999999986E+00         4.2500000000000000E+02        -4.5924210000004641E+03                   0                 3142                    0                    0                -3142                    0
                  51               578346         4.9999999999999982E+00         4.2500000000000000E+02        -4.5927353000004578E+03                   0                 3143                    0                    0                -3143                    0
                  52               578440         5.0999999999999979E+00         4.2500000000000000E+02        -4.5915440000004673E+03                   0                 3140                    0                    0                -3140                    0
                  53               578503         5.1999999999999975E+00         4.2500000000000000E+02        -4.5924039000004723E+03                   0                 3141                    0                    0                -3141                    0
                  54               578594         5.2999999999999972E+00         4.2500000000000000E+02        -4.5929709000004796E+03                   0                 3141                    0                    0                -3141                    0
                  55               578666         5.3999999999999968E+00         4.2500000000000000E+02        -4.5923300000004783E+03                   0                 3141                    0                    0                -3141                    0
                  56               578724         5.4999999999999964E+00         4.2500000000000000E+02        -4.5927170000004626E+03                   0                 3141                    0                    0                -3141                    0
                  57               578811         5.5999999999999961E+00         4.2500000000000000E+02        -4.5910650000004689E+03                   0                 3140                    0                    0                -3140                    0
                  58               578879         5.6999999999999957E+00         4.2500000000000000E+02        -4.5928181000004670E+03                   0                 3141                    0                    0                -3141                    0
                  59               578941         5.7999999999999954E+00         4.2500000000000000E+02        -4.5931587000004583E+03                   0                 3141                    0                    0                -3141                    0
                  60               579016         5.8999999999999950E+00         4.2500000000000000E+02        -4.5936831000004549E+03                   0                 3142                    0                    0                -3142                    0
                  61               579090         5.9999999999999947E+00         4.2500000000000000E+02        -4.5918065000004726E+03                   0                 3140                    0                    0                -3140                    0
                  62               579161         6.0999999999999943E+00         4.2500000000000000E+02        -4.5935957000004846E+03                   0                 3143                    0                    0                -3143                    0
                  63               579249         6.1999999999999940E+00         4.2500000000000000E+02        -4.5937131000004820E+03                   0                 3143                    0                    0                -3143                    0
                  64               579332         6.2999999999999936E+00         4.2500000000000000E+02        -4.5923102000004637E+03                   0                 3142                    0                    0                -3142                    0
                  65               579408         6.3999999999999932E+00         4.2500000000000000E+02        -4.5921961000004294E+03                   0                 3142                    0                    0                -3142                    0
                  66               579474         6.4999999999999929E+00         4.2500000000000000E+02        -4.5931363000004321E+03                   0                 3144                    0                    0                -3144                    0
                  67               579544         6.5999999999999925E+00         4.2500000000000000E+02        -4.5921767000004447E+03                   0                 3142                    0                    0                -3142                    0
                  68               579615         6.6999999999999922E+00         4.2500000000000000E+02        -4.5926788000004271E+03                   0                 3141                    0                    0                -3141                    0
                  69               579673         6.7999999999999918E+00         4.2500000000000000E+02        -4.5923636000004117E+03                   0                 3141                    0                    0                -3141                    0
                  70               579764         6.8999999999999915E+00         4.2500000000000000E+02        -4.5933704000003927E+03                   0                 3142                    0                    0                -3142                    0
                  71               579835         6.9999999999999911E+00         4.2500000000000000E+02        -4.5960856000004114E+03                   0                 3144                    0                    0                -3144                    0
                  72               579899         7.0999999999999908E+00         4.2500000000000000E+02        -4.5966683000003895E+03                   0                 3145                    0                    0                -3145                    0
                  73               579981         7.1999999999999904E+00         4.2500000000000000E+02        -4.5955746000003846E+03                   0                 3143                    0                    0                -3143                    0
                  74               580068         7.2999999999999901E+00         4.2500000000000000E+02        -4.5973204000003961E+03                   0                 3145                    0                    0                -3145                    0
                  75               580147         7.3999999999999897E+00         4.2500000000000000E+02        -4.5956632000003874E+03                   0                 3143                    0                    0                -3143                    0
                  76               580223         7.4999999999999893E+00         4.2500000000000000E+02        -4.5941980000003887E+03                   0                 3142                    0                    0                -3142                    0
                  77               580300         7.5999999999999890E+00         4.2500000000000000E+02        -4.5952601000003915E+03                   0                 3144                    0                    0                -3144                    0
                  78               580355         7.6999999999999886E+00         4.2500000000000000E+02        -4.5960310000003956E+03                   0                 3145                    0                    0                -3145                    0
                  79               580438         7.7999999999999883E+00         4.2500000000000000E+02        -4.5951509000004116E+03                   0                 3144                    0                    0                -3144                    0
                  80               580512         7.8999999999999879E+00         4.2500000000000000E+02        -4.5975659000004161E+03                   0                 3146                    0                    0                -3146                    0
                  81               580593         7.9999999999999876E+00         4.2500000000000000E+02        -4.5951192000004175E+03                   0                 3144                    0                    0                -3144                    0
                  82               580667         8.0999999999999872E+00         4.2500000000000000E+02        -4.5937212000004056E+03                   0                 3145                    0                    0                -3145                    0
                  83               580759         8.1999999999999869E+00         4.2500000000000000E+02        -4.5936089000004031E+03                   0                 3142                    0                    0                -3142                    0
                  84               580826         8.2999999999999865E+00         4.2500000000000000E+02        -4.5945859000004075E+03                   0                 3142                    0                    0                -3142                    0
                  85               580907         8.3999999999999861E+00         4.2500000000000000E+02        -4.5946195000004209E+03                   0                 3142                    0                    0                -3142                    0
                  86               580960         8.4999999999999858E+00         4.2500000000000000E+02        -4.5944683000004243E+03                   0                 3141                    0                    0                -3141                    0
                  87               581030         8.5999999999999854E+00         4.2500000000000000E+02        -4.5978870000004199E+03                   0                 3145                    0                    0                -3145                    0
                  88               581119         8.6999999999999851E+00         4.2500000000000000E+02        -4.5929259000004186E+03                   0                 3140                    0                    0                -3140                    0
                  89               581188         8.7999999999999847E+00         4.2500000000000000E+02        -4.5961813000004031E+03                   0                 3144                    0                    0                -3144                    0
                  90               581273         8.8999999999999844E+00         4.2500000000000000E+02        -4.5950045000004156E+03                   0                 3144                    0                    0                -3144                    0
                  91               581358         8.9999999999999840E+00         4.2500000000000000E+02        -4.5939919000004256E+03                   0                 3142                    0                    0                -3142                    0
                  92               581422         9.0999999999999837E+00         4.2500000000000000E+02        -4.5936873000004252E+03                   0                 3142                    0                    0                -3142                    0
                  93               581502         9.1999999999999833E+00         4.2500000000000000E+02        -4.5969853000004341E+03                   0                 3145                    0                    0                -3145                    0
                  94               581572         9.2999999999999829E+00         4.2500000000000000E+02        -4.5947537000004568E+03                   0                 3142                    0                    0                -3142                    0
                  95               581659         9.3999999999999826E+00         4.2500000000000000E+02        -4.5976840000004404E+03                   0                 3145                    0                    0                -3145                    0
                  96               581751         9.4999999999999822E+00         4.2500000000000000E+02        -4.5960699000004561E+03                   0                 3143                    0                    0                -3143                    0
                  97               581828         9.5999999999999819E+00         4.2500000000000000E+02        -4.5966573000004428E+03                   0                 3143                    0                    0                -3143                    0
                  98               581892         9.6999999999999815E+00         4.2500000000000000E+02        -4.5993481000004685E+03                   0                 3145                    0                    0                -3145                    0
                  99               581980         9.7999999999999812E+00         4.2500000000000000E+02        -4.5974642000004524E+03                   0                 3144                    0                    0                -3144                    0
                 100               582011         9.8999999999999808E+00         4.2500000000000000E+02        -4.5974897000004557E+03                   0                 3144                    0                    0                -3144                    0
                 101               582036         9.9999999999999805E+00         4.2500000000000000E+02        -4.5985858000004537E+03                   0                 3144                    0                    0                -3144                    0
                 102               582052         1.0099999999999980E+01         4.2500000000000000E+02        -4.5991100000004471E+03                   0                 3145                    0                    0                -3145                    0
                 103               582077         1.0199999999999980E+01         4.2500000000000000E+02        -4.5971763000004466E+03                   0                 3143                    0                    0                -3143                    0
                 104               582098         1.0299999999999979E+01         4.2500000000000000E+02        -4.5975727000004508E+03                   0                 3143                    0                    0                -3143                    0
                 105               582124         1.0399999999999979E+01         4.2500000000000000E+02        -4.5996383000004553E+03                   0                 3145                    0                    0                -3145                    0
                 106               582153         1.0499999999999979E+01         4.2500000000000000E+02        -4.6006651000004531E+03                   0                 3146                    0                    0                -3146                    0
                 107               582168         1.0599999999999978E+01         4.2500000000000000E+02        -4.6003599000004433E+03                   0                 3146                    0                    0                -3146                    0
                 108               582190         1.0699999999999978E+01         4.2500000000000000E+02        -4.6006795000004440E+03                   0                 3146                    0                    0                -3146                    0
                 109               582209         1.0799999999999978E+01         4.2500000000000000E+02        -4.6009948000004442E+03                   0                 3147                    0                    0                -3147                    0
                 110               582222         1.0899999999999977E+01         4.2500000000000000E+02        -4.6003832000004322E+03                   0                 3147                    0                    0                -3147                    0
                 111               582239         1.0999999999999977E+01         4.2500000000000000E+02        -4.6008317000004281E+03                   0                 3147                    0                    0                -3147                    0
                 112               582258         1.1099999999999977E+01         4.2500000000000000E+02        -4.6012312000004258E+03                   0                 3147                    0                    0                -3147                    0
                 113               582272         1.1199999999999976E+01         4.2500000000000000E+02        -4.6012312000004258E+03                   0                 3147                    0                    0                -3147                    0
                 114               582286         1.1299999999999976E+01         4.2500000000000000E+02        -4.6015340000004271E+03                   0                 3147                    0                    0                -3147                    0
                 115               582297         1.1399999999999975E+01         4.2500000000000000E+02        -4.6014098000004378E+03                   0                 3147                    0                    0                -3147                    0
                 116               582309         1.1499999999999975E+01         4.2500000000000000E+02        -4.5999087000004383E+03                   0                 3146                    0                    0                -3146                    0
                 117               582319         1.1599999999999975E+01         4.2500000000000000E+02        -4.5996068000004398E+03                   0                 3146                    0                    0                -3146                    0
                 118               582334         1.1699999999999974E+01         4.2500000000000000E+02        -4.5990936000004403E+03                   0                 3146                    0                    0                -3146                    0
                 119               582354         1.1799999999999974E+01         4.2500000000000000E+02        -4.6005645000004397E+03                   0                 3147                    0                    0                -3147                    0
                 120               582383         1.1899999999999974E+01         4.2500000000000000E+02        -4.5997703000004385E+03                   0                 3146                    0                    0                -3146                    0
                 121               582402         1.1999999999999973E+01         4.2500000000000000E+02        -4.5999813000004397E+03                   0                 3147                    0                    0                -3147                    0
                 122               582422         1.2099999999999973E+01         4.2500000000000000E+02        -4.5983196000004491E+03                   0                 3145                    0                    0                -3145                    0
                 123               582449         1.2199999999999973E+01         4.2500000000000000E+02        -4.5996773000004514E+03                   0                 3147                    0                    0                -3147                    0
                 124               582462         1.2299999999999972E+01         4.2500000000000000E+02        -4.6007943000004634E+03                   0                 3147                    0                    0                -3147                    0
                 125               582467         1.2399999999999972E+01         4.2500000000000000E+02        -4.6026473000004562E+03                   0                 3149                    0                    0                -3149                    0
                 126               582479         1.2499999999999972E+01         4.2500000000000000E+02        -4.6019536000004600E+03                   0                 3148                    0                    0                -3148                    0
                 127               582495         1.2599999999999971E+01         4.2500000000000000E+02        -4.6016991000004637E+03                   0                 3147                    0                    0                -3147                    0
                 128               582513         1.2699999999999971E+01         4.2500000000000000E+02        -4.6014415000004610E+03                   0                 3147                    0                    0                -3147                    0
                 129               582540         1.2799999999999971E+01         4.2500000000000000E+02        -4.6019518000004746E+03                   0                 3148                    0                    0                -3148                    0
                 130               582555         1.2899999999999970E+01         4.2500000000000000E+02        -4.6013305000004766E+03                   0                 3147                    0                    0                -3147                    0
                 131               582582         1.2999999999999970E+01         4.2500000000000000E+02        -4.6023165000004747E+03                   0                 3148                    0                    0                -3148                    0
                 132               582604         1.3099999999999969E+01         4.2500000000000000E+02        -4.5999361000004783E+03                   0                 3145                    0                    0                -3145                    0
                 133               582615         1.3199999999999969E+01         4.2500000000000000E+02        -4.5995695000004762E+03                   0                 3145                    0                    0                -3145                    0
                 134               582638         1.3299999999999969E+01         4.2500000000000000E+02        -4.6023845000004749E+03                   0                 3148                    0                    0                -3148                    0
                 135               582650         1.3399999999999968E+01         4.2500000000000000E+02        -4.6025750000004755E+03                   0                 3148                    0                    0                -3148                    0
                 136               582666         1.3499999999999968E+01         4.2500000000000000E+02        -4.6054008000004742E+03                   0                 3151                    0                    0                -3151                    0
