               Entry              Nevents                           Time                    Temperature                         Energy                  O*                  CO*                  O2*                   O2                   CO                  CO2
                   1                    0         0.0000000000000000E+00         4.2500000000000000E+02        -5.5295999999999999E+01                   0                    0                    0                    0                    0                    0
                   2               114479         1.0000000000000001E-01         4.2500000000000000E+02        -5.7936135000002378E+03                   0                 4748                    0                    0                -4748                    0
                   3               116467         2.0000000000000001E-01         4.2500000000000000E+02        -5.7782152000002179E+03                   0                 4727                    0                    0                -4727                    0
                   4               118516         3.0000000000000004E-01         4.2500000000000000E+02        -5.7819518000001754E+03                   0                 4731                    0                    0                -4731                    0
                   5               120102         4.0000000000000002E-01         4.2500000000000000E+02        -5.7956341000001548E+03                   0                 4752                    0                    0                -4752                    0
                   6               120461         5.0000000000000000E-01         4.2500000000000000E+02        -5.7914807000001774E+03                   0                 4744                    0                    0                -4744                    0
                   7               120876         5.9999999999999998E-01         4.2500000000000000E+02        -5.7920395000001681E+03                   0                 4745                    0                    0                -4745                    0
                   8               121242         6.9999999999999996E-01         4.2500000000000000E+02        -5.7847263000001949E+03                   0                 4735                    0                    0                -4735                    0
                   9               121636         7.9999999999999993E-01         4.2500000000000000E+02        -5.7896516000002084E+03                   0                 4742                    0                    0                -4742                    0
                  10               122049         8.9999999999999991E-01         4.2500000000000000E+02        -5.7981878000001880E+03                   0                 4753                    0                    0                -4753                    0
                  11               122409         9.9999999999999989E-01         4.2500000000000000E+02        -5.8009216000001798E+03                   0                 4759                    0                    0                -4759                    0
                  12               122817         1.0999999999999999E+00         4.2500000000000000E+02        -5.7927994000001509E+03                   0                 4746                    0                    0                -4746                    0
                  13               123199         1.2000000000000000E+00         4.2500000000000000E+02        -5.7907181000001247E+03                   0                 4744                    0                    0                -4744                    0
                  14               123631         1.3000000000000000E+00         4.2500000000000000E+02        -5.7896830000001446E+03                   0                 4743                    0                    0                -4743                    0
                  15               124071         1.4000000000000001E+00         4.2500000000000000E+02        -5.7936779000001370E+03                   0                 4747                    0                    0                -4747                    0
                  16               124464         1.5000000000000002E+00         4.2500000000000000E+02        -5.7921990000001097E+03                   0                 4745                    0                    0                -4745                    0
                  17               124820         1.6000000000000003E+00         4.2500000000000000E+02        -5.7964865000001282E+03                   0                 4750                    0                    0                -4750                    0
                  18               125246         1.7000000000000004E+00         4.2500000000000000E+02        -5.7998121000001620E+03                   0                 4756                    0                    0                -4756                    0
                  19               125651         1.8000000000000005E+00         4.2500000000000000E+02        -5.8084329000001953E+03                   0                 4770                    0                    0                -4770                    0
                  20               126008         1.9000000000000006E+00         4.2500000000000000E+02        -5.8047860000001883E+03                   0                 4763                    0                    0                -4763                    0
                  21               126087         2.0000000000000004E+00         4.2500000000000000E+02        -5.8070851000001931E+03                   0                 4766                    0                    0                -4766                    0
                  22               126170         2.1000000000000005E+00         4.2500000000000000E+02        -5.8071573000002090E+03                   0                 4767                    0                    0                -4767                    0
                  23               126240         2.2000000000000006E+00         4.2500000000000000E+02        -5.8080437000001984E+03                   0                 4768                    0                    0                -4768                    0
                  24               126322         2.3000000000000007E+00         4.2500000000000000E+02        -5.8092134000001934E+03                   0                 4770                    0                    0                -4770                    0
                  25               126375         2.4000000000000008E+00         4.2500000000000000E+02        -5.8113665000002093E+03                   0                 4773                    0                    0                -4773                    0
                  26               126481         2.5000000000000009E+00         4.2500000000000000E+02        -5.8083640000002133E+03                   0                 4770                    0                    0                -4770                    0
                  27               126560         2.6000000000000010E+00         4.2500000000000000E+02        -5.8101958000002123E+03                   0                 4772                    0                    0                -4772                    0
                  28               126638         2.7000000000000011E+00         4.2500000000000000E+02        -5.8070280000002249E+03                   0                 4768                    0                    0                -4768                    0
                  29               126712         2.8000000000000012E+00         4.2500000000000000E+02        -5.8089791000002333E+03                   0                 4771                    0                    0                -4771                    0
                  30               126799         2.9000000000000012E+00         4.2500000000000000E+02        -5.8107783000002464E+03                   0                 4774                    0                    0                -4774                    0
                  31               126888         3.0000000000000013E+00         4.2500000000000000E+02        -5.8121900000002488E+03                   0                 4775                    0                    0                -4775                    0
                  32               126954         3.1000000000000014E+00         4.2500000000000000E+02        -5.8164719000002578E+03                   0                 4782                    0                    0                -4782                    0
                  33               127044         3.2000000000000015E+00         4.2500000000000000E+02        -5.8122315000002518E+03                   0                 4775                    0                    0                -4775                    0
                  34               127125         3.3000000000000016E+00         4.2500000000000000E+02        -5.8108254000002635E+03                   0                 4773                    0                    0                -4773                    0
