               Entry              Nevents                           Time                    Temperature                         Energy                  O*                  CO*                  O2*                   O2                   CO                  CO2
                   1                    0         0.0000000000000000E+00         4.2500000000000000E+02        -5.5295999999999999E+01                   0                    0                    0                    0                    0                    0
                   2                77436         1.0000000000000001E-01         4.2500000000000000E+02        -2.9079599999999999E+02                   0                  157                    0                    0                 -157                    0
                   3               102491         2.0000000000000001E-01         4.2500000000000000E+02        -4.9629599999999999E+02                   0                  294                    0                    0                 -294                    0
                   4               130245         3.0000000000000004E-01         4.2500000000000000E+02        -7.5729600000000005E+02                   0                  468                    0                    0                 -468                    0
                   5               159019         4.0000000000000002E-01         4.2500000000000000E+02        -9.6879600000000005E+02                   0                  609                    0                    0                 -609                    0
                   6               186131         5.0000000000000000E-01         4.2500000000000000E+02        -1.1607960000000000E+03                   0                  737                    0                    0                 -737                    0
                   7               206873         5.9999999999999998E-01         4.2500000000000000E+02        -1.3617960000000000E+03                   0                  871                    0                    0                 -871                    0
                   8               227869         6.9999999999999996E-01         4.2500000000000000E+02        -1.5567960000000000E+03                   0                 1001                    0                    0                -1001                    0
                   9               251949         7.9999999999999993E-01         4.2500000000000000E+02        -1.7442960000000000E+03                   0                 1126                    0                    0                -1126                    0
                  10               268178         8.9999999999999991E-01         4.2500000000000000E+02        -1.9317960000000000E+03                   0                 1251                    0                    0                -1251                    0
                  11               287233         9.9999999999999989E-01         4.2500000000000000E+02        -2.1477960000000003E+03                   0                 1395                    0                    0                -1395                    0
                  12               313534         1.0999999999999999E+00         4.2500000000000000E+02        -2.3532960000000003E+03                   0                 1532                    0                    0                -1532                    0
                  13               330524         1.2000000000000000E+00         4.2500000000000000E+02        -2.5302960000000003E+03                   0                 1650                    0                    0                -1650                    0
                  14               348855         1.3000000000000000E+00         4.2500000000000000E+02        -2.7282960000000003E+03                   0                 1782                    0                    0                -1782                    0
                  15               367984         1.4000000000000001E+00         4.2500000000000000E+02        -2.9097960000000003E+03                   0                 1903                    0                    0                -1903                    0
                  16               386775         1.5000000000000002E+00         4.2500000000000000E+02        -3.0762960000000003E+03                   0                 2014                    0                    0                -2014                    0
                  17               401343         1.6000000000000003E+00         4.2500000000000000E+02        -3.2382960000000003E+03                   0                 2122                    0                    0                -2122                    0
                  18               419567         1.7000000000000004E+00         4.2500000000000000E+02        -3.4227960000000003E+03                   0                 2245                    0                    0                -2245                    0
                  19               439002         1.8000000000000005E+00         4.2500000000000000E+02        -3.5997960000000003E+03                   0                 2363                    0                    0                -2363                    0
                  20               459632         1.9000000000000006E+00         4.2500000000000000E+02        -3.7992960000000003E+03                   0                 2496                    0                    0                -2496                    0
                  21               477959         2.0000000000000004E+00         4.2500000000000000E+02        -3.9627960000000003E+03                   0                 2605                    0                    0                -2605                    0
                  22               494537         2.1000000000000005E+00         4.2500000000000000E+02        -4.1112960000000003E+03                   0                 2704                    0                    0                -2704                    0
                  23               511365         2.2000000000000006E+00         4.2500000000000000E+02        -4.2927960000000003E+03                   0                 2825                    0                    0                -2825                    0
                  24               531698         2.3000000000000007E+00         4.2500000000000000E+02        -4.4652960000000003E+03                   0                 2940                    0                    0                -2940                    0
                  25               546242         2.4000000000000008E+00         4.2500000000000000E+02        -4.5957960000000003E+03                   0                 3027                    0                    0                -3027                    0
                  26               560968         2.5000000000000009E+00         4.2500000000000000E+02        -4.7697960000000003E+03                   0                 3143                    0                    0                -3143                    0
