Reaction_Descrp,Parameter,Values,Units
,T,623,K
,R,8.31446,JK^-1mol^-1
CO,P1,1.00E-08,bar
H2O,P2,1.00E-08,bar
CO2,P3,1.00E-08,bar
H2,P4,1.00E-08,bar
r1,k1x,1.00E+11,-
,k1y,1.00E+11,-
r2,k2x,1.00E+11,-
,k2y,1.00E+10,-
r3,k3x,1.00E+13,-
,k3y,1.00E+14,-
r4,k4x,1.00E+10,-
,k4y,1.00E+05,-
r5,k5x,1.00E+13,-
,k5y,1.00E+14,-
r6,k6x,1.00E+10,-
,k6y,1.00E+08,-
r7,k7x,1.00E+12,-
,k7y,1.00E+11,-
const,a1x,1.00E+00,-
const,a1y,1.00E+00,-
const,a2x,1.00E+00,-
const,a2y,1.00E+00,-
const,a3x,1.00E+00,-
const,a3y,1.00E+00,-
const,a4x,1.00E+00,-
const,a4y,1.00E+00,-
const,a5x,1.00E+00,-
const,a5y,1.00E+00,-
const,a6x,1.00E+00,-
const,a6y,1.00E+00,-
const,a7x,1.00E+00,-
const,a7y,1.00E+00,-
const,b1x,1.00E+00,-
const,b1y,1.00E+00,-
const,b2x,1.00E+00,-
const,b2y,1.00E+00,-
const,b3x,1.00E+00,-
const,b3y,1.00E+00,-
const,b4x,1.00E+00,-
const,b4y,1.00E+00,-
const,b5x,1.00E+00,-
const,b5y,1.00E+00,-
const,b6x,1.00E+00,-
const,b6y,1.00E+00,-
const,b7x,1.00E+00,-
const,b7y,1.00E+00,-
const,c1x,1.00E+00,-
const,c1y,1.00E+00,-
const,c2x,1.00E+00,-
const,c2y,1.00E+00,-
const,c3x,1.00E+00,-
const,c3y,1.00E+00,-
const,c4x,1.00E+00,-
const,c4y,1.00E+00,-
const,c5x,1.00E+00,-
const,c5y,1.00E+00,-
const,c6x,1.00E+00,-
const,c6y,1.00E+00,-
const,c7x,1.00E+00,-
const,c7y,1.00E+00,-
const,d1x,1.00E+00,-
const,d1y,1.00E+00,-
const,d2x,1.00E+00,-
const,d2y,1.00E+00,-
const,d3x,1.00E+00,-
const,d3y,1.00E+00,-
const,d4x,1.00E+00,-
const,d4y,1.00E+00,-
const,d5x,1.00E+00,-
const,d5y,1.00E+00,-
const,d6x,1.00E+00,-
const,d6y,1.00E+00,-
const,d7x,1.00E+00,-
const,d7y,1.00E+00,-
const,e1x,1.00E+00,-
const,e1y,1.00E+00,-
const,e2x,1.00E+00,-
const,e2y,1.00E+00,-
const,e3x,1.00E+00,-
const,e3y,1.00E+00,-
const,e4x,1.00E+00,-
const,e4y,1.00E+00,-
const,e5x,1.00E+00,-
const,e5y,1.00E+00,-
const,e6x,1.00E+00,-
const,e6y,1.00E+00,-
const,e7x,1.00E+00,-
const,e7y,1.00E+00,-
const,f1x,1.00E+00,-
const,f1y,1.00E+00,-
const,f2x,1.00E+00,-
const,f2y,1.00E+00,-
const,f3x,1.00E+00,-
const,f3y,1.00E+00,-
const,f4x,1.00E+00,-
const,f4y,1.00E+00,-
const,f5x,1.00E+00,-
const,f5y,1.00E+00,-
const,f6x,1.00E+00,-
const,f6y,1.00E+00,-
const,f7x,1.00E+00,-
const,f7y,1.00E+00,-
